base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,inr,4300000.0,4540086.0,4384252.0,SPOT,4422530.0,547.16198,4384252.0,4383814.0,2021-05-07 01:35:56,BTC/INR,2021-05-07,01:35:56
xrp,inr,122.0,136.0,123.9,SPOT,134.7302,3122371.8,123.4776,123.09,2021-05-07 01:35:56,XRP/INR,2021-05-07,01:35:56
eth,inr,261132.3,280699.0,270589.3,SPOT,270000.0,1416.7006,270589.3,270300.0,2021-05-07 01:35:56,ETH/INR,2021-05-07,01:35:56
trx,inr,10.5989,12.98,12.6605,SPOT,11.2,62147277.0,12.6605,12.66,2021-05-07 01:35:56,TRX/INR,2021-05-07,01:35:56
eos,inr,660.01,1050.0,973.0,SPOT,700.36,513598.29,975.0,973.0,2021-05-07 01:35:56,EOS/INR,2021-05-07,01:35:56
zil,inr,16.36,20.2,17.5,SPOT,16.38,7700642.0,17.76,17.5,2021-05-07 01:35:56,ZIL/INR,2021-05-07,01:35:56
bat,inr,103.0,115.0,113.046,SPOT,108.713,181958.35,114.006,112.0,2021-05-07 01:35:56,BAT/INR,2021-05-07,01:35:56
zrx,inr,144.04,164.9,164.4,SPOT,146.87,75957.67,164.49,164.4,2021-05-07 01:35:56,ZRX/INR,2021-05-07,01:35:56
omg,inr,752.0,1066.0,970.43,SPOT,769.0,46432.15,977.0,970.43,2021-05-07 01:35:56,OMG/INR,2021-05-07,01:35:56
iost,inr,4.72,5.73,5.35,SPOT,4.75,9646115.0,5.39,5.35,2021-05-07 01:35:56,IOST/INR,2021-05-07,01:35:56
dent,inr,0.737,0.793,0.772,SPOT,0.755,137808831.0,0.773,0.772,2021-05-07 01:35:56,DENT/INR,2021-05-07,01:35:56
hot,inr,1.138,1.213,1.201,SPOT,1.14,68009382.0,1.204,1.201,2021-05-07 01:35:56,HOT/INR,2021-05-07,01:35:56
usdt,inr,77.27,78.79,77.49,SPOT,77.95,29387041.0,77.44,77.4,2021-05-07 01:35:56,USDT/INR,2021-05-07,01:35:56
wrx,inr,173.01,193.78,178.99,SPOT,185.79,3992668.7,178.99,178.91,2021-05-07 01:35:56,WRX/INR,2021-05-07,01:35:56
matic,inr,57.3,64.0,61.0,SPOT,61.599,2109830.0,61.0,60.399,2021-05-07 01:35:56,MATIC/INR,2021-05-07,01:35:56
bch,inr,100000.0,123988.0,113101.0,SPOT,105000.0,1203.307,114500.0,113101.0,2021-05-07 01:35:56,BCH/INR,2021-05-07,01:35:56
bnb,inr,48500.0,50993.81,49196.09,SPOT,50040.0,2059.8524,49195.0,48852.0,2021-05-07 01:35:56,BNB/INR,2021-05-07,01:35:56
btt,inr,0.541,0.7,0.66205,SPOT,0.55,1484568048.0,0.6625,0.66205,2021-05-07 01:35:56,BTT/INR,2021-05-07,01:35:56
chz,inr,2.5,2.5,2.5,SPOT,2.5,0.0,0.0,0.0,2021-05-07 01:35:56,CHZ/INR,2021-05-07,01:35:56
one,inr,0.56,0.56,0.56,SPOT,0.56,0.0,0.0,0.0,2021-05-07 01:35:56,ONE/INR,2021-05-07,01:35:56
yfi,inr,4033085.0,4499900.0,4117000.0,SPOT,4150005.0,1.186457,4117000.0,4035754.0,2021-05-07 01:35:56,YFI/INR,2021-05-07,01:35:56
uni,inr,3085.0,3350.0,3085.0,SPOT,3250.96,7431.02,3090.0,3085.0,2021-05-07 01:35:56,UNI/INR,2021-05-07,01:35:56
link,inr,3601.0,3900.0,3720.0,SPOT,3720.0,8414.49,3722.81,3720.0,2021-05-07 01:35:56,LINK/INR,2021-05-07,01:35:56
