base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,inr,4400000.0,4540086.0,4454269.0,SPOT,4456199.0,559.77841,4454269.0,4451998.0,2021-05-06 17:15:54,BTC/INR,2021-05-06,17:15:54
xrp,inr,120.0,136.0,130.8,SPOT,120.751,3957383.8,130.8,130.508,2021-05-06 17:15:54,XRP/INR,2021-05-06,17:15:54
eth,inr,261132.3,280008.4,279800.0,SPOT,264973.5,1469.0514,279900.0,279800.0,2021-05-06 17:15:54,ETH/INR,2021-05-06,17:15:54
trx,inr,10.49,12.2,11.9859,SPOT,10.7225,62965671.0,11.9864,11.9859,2021-05-06 17:15:54,TRX/INR,2021-05-06,17:15:54
eos,inr,632.01,1050.0,909.0,SPOT,642.0,340642.3,909.9,909.0,2021-05-06 17:15:54,EOS/INR,2021-05-06,17:15:54
zil,inr,16.18,19.87,19.44,SPOT,16.45,6247600.0,19.44,19.4,2021-05-06 17:15:54,ZIL/INR,2021-05-06,17:15:54
bat,inr,100.0,112.0,108.568,SPOT,102.487,224402.77,108.568,108.376,2021-05-06 17:15:54,BAT/INR,2021-05-06,17:15:54
zrx,inr,141.42,160.0,158.8,SPOT,141.5,64181.11,158.62,158.2,2021-05-06 17:15:54,ZRX/INR,2021-05-06,17:15:54
omg,inr,751.02,869.618,849.914,SPOT,789.8,21381.35,849.063,842.0,2021-05-06 17:15:54,OMG/INR,2021-05-06,17:15:54
iost,inr,4.66,5.23,5.11,SPOT,4.72,7216608.0,5.13,5.11,2021-05-06 17:15:54,IOST/INR,2021-05-06,17:15:54
dent,inr,0.75,0.793,0.771,SPOT,0.775,128635953.0,0.771,0.77,2021-05-06 17:15:54,DENT/INR,2021-05-06,17:15:54
hot,inr,1.126,1.213,1.173,SPOT,1.152,61165052.0,1.173,1.172,2021-05-06 17:15:54,HOT/INR,2021-05-06,17:15:54
usdt,inr,77.22,78.64,78.0,SPOT,77.4,25202727.88,78.02,78.01,2021-05-06 17:15:54,USDT/INR,2021-05-06,17:15:54
wrx,inr,182.0,193.78,182.2,SPOT,191.1,4008613.8,182.2,182.0,2021-05-06 17:15:54,WRX/INR,2021-05-06,17:15:54
matic,inr,59.5,64.0,60.2,SPOT,60.7,2537250.0,60.319,60.2,2021-05-06 17:15:54,MATIC/INR,2021-05-06,17:15:54
bch,inr,97900.0,123988.0,119357.0,SPOT,102999.0,1564.9177,119600.0,119500.0,2021-05-06 17:15:55,BCH/INR,2021-05-06,17:15:55
bnb,inr,49500.0,51034.16,50199.99,SPOT,50100.0,2127.9792,50200.0,50199.99,2021-05-06 17:15:55,BNB/INR,2021-05-06,17:15:55
btt,inr,0.5398,0.65,0.60199,SPOT,0.549,1144057275.0,0.602,0.60199,2021-05-06 17:15:55,BTT/INR,2021-05-06,17:15:55
chz,inr,2.5,2.5,2.5,SPOT,2.5,0.0,0.0,0.0,2021-05-06 17:15:55,CHZ/INR,2021-05-06,17:15:55
one,inr,0.56,0.56,0.56,SPOT,0.56,0.0,0.0,0.0,2021-05-06 17:15:55,ONE/INR,2021-05-06,17:15:55
yfi,inr,4052766.0,4499900.0,4384000.0,SPOT,4100000.0,1.652053,4384000.0,4280000.0,2021-05-06 17:15:55,YFI/INR,2021-05-06,17:15:55
uni,inr,3220.0,3425.0,3259.67,SPOT,3325.0,7099.54,3259.34,3227.0,2021-05-06 17:15:55,UNI/INR,2021-05-06,17:15:55
link,inr,3601.0,3870.0,3720.0,SPOT,3750.01,7825.16,3720.0,3704.1,2021-05-06 17:15:55,LINK/INR,2021-05-06,17:15:55
sxp,inr,382.0,409.99,392.0,SPOT,390.0,85729.77,392.99,392.0,2021-05-06 17:15:55,SXP/INR,2021-05-06,17:15:55
ada,inr,109.7224,130.7,126.355,SPOT,110.5,3500807.1,126.355,126.3515,2021-05-06 17:15:55,ADA/INR,2021-05-06,17:15:55
