base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,inr,4300000.0,4540086.0,4392122.0,SPOT,4466352.0,564.23795,4392122.0,4380073.0,2021-05-06 19:49:57,BTC/INR,2021-05-06,19:49:57
xrp,inr,121.5,136.0,126.5126,SPOT,124.79,4123956.7,126.5126,126.5,2021-05-06 19:49:57,XRP/INR,2021-05-06,19:49:57
eth,inr,261132.3,280699.0,272000.0,SPOT,270700.0,1484.3896,272000.0,271556.0,2021-05-06 19:49:57,ETH/INR,2021-05-06,19:49:57
trx,inr,10.5645,12.3538,11.64,SPOT,10.77,64315517.0,11.65,11.64,2021-05-06 19:49:57,TRX/INR,2021-05-06,19:49:57
eos,inr,639.0,1050.0,987.44,SPOT,655.93,437410.38,989.99,987.44,2021-05-06 19:49:58,EOS/INR,2021-05-06,19:49:58
zil,inr,16.22,20.2,18.64,SPOT,16.75,7457037.0,18.68,18.64,2021-05-06 19:49:58,ZIL/INR,2021-05-06,19:49:58
bat,inr,102.111,112.0,107.0,SPOT,106.0,204352.75,107.2,107.0,2021-05-06 19:49:58,BAT/INR,2021-05-06,19:49:58
zrx,inr,143.8,162.2,153.0,SPOT,146.5,70788.9,153.98,153.0,2021-05-06 19:49:58,ZRX/INR,2021-05-06,19:49:58
omg,inr,751.02,869.618,812.84,SPOT,798.988,23842.96,829.799,810.0,2021-05-06 19:49:58,OMG/INR,2021-05-06,19:49:58
iost,inr,4.66,5.23,4.98,SPOT,4.74,7605407.0,4.99,4.94,2021-05-06 19:49:58,IOST/INR,2021-05-06,19:49:58
dent,inr,0.743,0.793,0.755,SPOT,0.776,133964866.0,0.755,0.751,2021-05-06 19:49:58,DENT/INR,2021-05-06,19:49:58
hot,inr,1.13,1.213,1.151,SPOT,1.166,63306714.0,1.156,1.151,2021-05-06 19:49:58,HOT/INR,2021-05-06,19:49:58
usdt,inr,77.22,78.79,78.27,SPOT,78.2,27883585.01,78.27,78.18,2021-05-06 19:49:58,USDT/INR,2021-05-06,19:49:58
wrx,inr,174.0,193.78,176.47,SPOT,191.79,4297250.0,176.47,176.0,2021-05-06 19:49:58,WRX/INR,2021-05-06,19:49:58
matic,inr,57.3,64.0,59.184,SPOT,62.0,2367947.0,59.184,58.9,2021-05-06 19:49:58,MATIC/INR,2021-05-06,19:49:58
