base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,inr,4300000.0,4540086.0,4389570.0,SPOT,4439107.0,561.22548,4388697.0,4368475.0,2021-05-07 02:19:55,BTC/INR,2021-05-07,02:19:55
xrp,inr,122.0,136.0,122.05,SPOT,131.2468,2984099.7,122.25,122.05,2021-05-07 02:19:55,XRP/INR,2021-05-07,02:19:55
eth,inr,261132.3,280699.0,268912.0,SPOT,270450.0,1429.3725,268949.0,268912.0,2021-05-07 02:19:55,ETH/INR,2021-05-07,02:19:55
trx,inr,10.5989,12.98,12.78,SPOT,11.0589,63997832.0,12.78,12.76,2021-05-07 02:19:55,TRX/INR,2021-05-07,02:19:55
eos,inr,660.01,1050.0,961.3,SPOT,703.0,536618.87,964.54,961.3,2021-05-07 02:19:55,EOS/INR,2021-05-07,02:19:55
zil,inr,16.38,20.2,17.7,SPOT,16.59,7681745.0,17.88,17.7,2021-05-07 02:19:55,ZIL/INR,2021-05-07,02:19:55
bat,inr,103.0,119.0,119.0,SPOT,108.5,198173.15,119.15,119.0,2021-05-07 02:19:55,BAT/INR,2021-05-07,02:19:55
zrx,inr,144.04,170.0,168.0,SPOT,148.0,83134.1,167.99,166.0,2021-05-07 02:19:55,ZRX/INR,2021-05-07,02:19:55
omg,inr,752.0,1390.0,1369.0,SPOT,767.0,57905.31,1390.575,1390.0,2021-05-07 02:19:55,OMG/INR,2021-05-07,02:19:55
iost,inr,4.74,5.73,5.41,SPOT,4.81,10317153.0,5.44,5.41,2021-05-07 02:19:55,IOST/INR,2021-05-07,02:19:55
dent,inr,0.737,0.793,0.758,SPOT,0.76,140892933.0,0.758,0.756,2021-05-07 02:19:55,DENT/INR,2021-05-07,02:19:55
hot,inr,1.14,1.213,1.181,SPOT,1.154,69425508.0,1.181,1.18,2021-05-07 02:19:55,HOT/INR,2021-05-07,02:19:55
usdt,inr,77.27,78.79,77.87,SPOT,77.7,30067527.13,77.87,77.76,2021-05-07 02:19:55,USDT/INR,2021-05-07,02:19:55
wrx,inr,173.01,193.78,178.5,SPOT,184.5,4014028.1,178.5,178.0,2021-05-07 02:19:55,WRX/INR,2021-05-07,02:19:55
matic,inr,57.3,64.0,60.062,SPOT,61.62,2108095.0,60.1,60.062,2021-05-07 02:19:55,MATIC/INR,2021-05-07,02:19:55
bch,inr,100000.0,123988.0,113950.0,SPOT,105033.0,1184.5423,113832.0,111100.0,2021-05-07 02:19:55,BCH/INR,2021-05-07,02:19:55
bnb,inr,48500.0,50993.81,48701.0,SPOT,50000.0,2087.3417,48704.23,48701.0,2021-05-07 02:19:55,BNB/INR,2021-05-07,02:19:55
btt,inr,0.541,0.7,0.667,SPOT,0.54486,1582811825.0,0.66666,0.665,2021-05-07 02:19:55,BTT/INR,2021-05-07,02:19:55
chz,inr,2.5,2.5,2.5,SPOT,2.5,0.0,0.0,0.0,2021-05-07 02:19:55,CHZ/INR,2021-05-07,02:19:55
one,inr,0.56,0.56,0.56,SPOT,0.56,0.0,0.0,0.0,2021-05-07 02:19:55,ONE/INR,2021-05-07,02:19:55
yfi,inr,3990000.0,4499900.0,4029000.0,SPOT,4200000.0,1.25834,4029000.0,3990000.0,2021-05-07 02:19:55,YFI/INR,2021-05-07,02:19:55
uni,inr,3070.0,3350.0,3082.0,SPOT,3284.0,7483.8,3149.0,3084.95,2021-05-07 02:19:55,UNI/INR,2021-05-07,02:19:55
link,inr,3601.0,3900.0,3732.94,SPOT,3719.0,8521.31,3732.94,3727.77,2021-05-07 02:19:55,LINK/INR,2021-05-07,02:19:55
