base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,inr,4300000.0,4540086.0,4383800.0,SPOT,4460685.0,559.92935,4393450.0,4384238.0,2021-05-06 21:21:54,BTC/INR,2021-05-06,21:21:54
xrp,inr,122.0,136.0,125.7998,SPOT,122.8248,4092574.2,125.7998,125.78,2021-05-06 21:21:54,XRP/INR,2021-05-06,21:21:54
eth,inr,261132.3,280699.0,271982.3,SPOT,270999.0,1488.4361,271982.3,271982.2,2021-05-06 21:21:54,ETH/INR,2021-05-06,21:21:54
trx,inr,10.5989,12.3538,11.5,SPOT,10.71,64047941.0,11.5,11.4911,2021-05-06 21:21:55,TRX/INR,2021-05-06,21:21:55
eos,inr,650.0,1050.0,917.0,SPOT,658.0,496772.01,917.0,915.0,2021-05-06 21:21:55,EOS/INR,2021-05-06,21:21:55
zil,inr,16.22,20.2,18.43,SPOT,16.5,7492833.0,18.42,18.37,2021-05-06 21:21:55,ZIL/INR,2021-05-06,21:21:55
bat,inr,103.0,112.0,107.0,SPOT,103.41,191272.54,107.0,106.5,2021-05-06 21:21:55,BAT/INR,2021-05-06,21:21:55
zrx,inr,144.04,162.2,156.0,SPOT,146.99,71379.54,155.99,150.2,2021-05-06 21:21:55,ZRX/INR,2021-05-06,21:21:55
omg,inr,751.02,869.618,842.0,SPOT,775.0,23935.34,847.916,818.5,2021-05-06 21:21:55,OMG/INR,2021-05-06,21:21:55
iost,inr,4.7,5.23,4.96,SPOT,4.74,7658028.0,4.96,4.95,2021-05-06 21:21:55,IOST/INR,2021-05-06,21:21:55
dent,inr,0.737,0.793,0.745,SPOT,0.762,135824025.0,0.746,0.745,2021-05-06 21:21:55,DENT/INR,2021-05-06,21:21:55
hot,inr,1.13,1.213,1.156,SPOT,1.149,64797002.0,1.156,1.144,2021-05-06 21:21:55,HOT/INR,2021-05-06,21:21:55
usdt,inr,77.22,78.79,77.99,SPOT,78.35,28476085.97,78.0,77.92,2021-05-06 21:21:55,USDT/INR,2021-05-06,21:21:55
wrx,inr,173.01,193.78,176.55,SPOT,188.49,4368938.1,176.71,176.55,2021-05-06 21:21:55,WRX/INR,2021-05-06,21:21:55
matic,inr,57.3,64.0,59.299,SPOT,61.8,2342045.0,59.3,59.299,2021-05-06 21:21:55,MATIC/INR,2021-05-06,21:21:55
