base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,inr,4300000.0,4540086.0,4413116.0,SPOT,4447437.0,555.39371,4413116.0,4403371.0,2021-05-06 23:19:57,BTC/INR,2021-05-06,23:19:57
xrp,inr,122.02,136.0,127.4862,SPOT,123.15,4048633.4,127.4862,126.2011,2021-05-06 23:19:57,XRP/INR,2021-05-06,23:19:57
eth,inr,261132.3,280699.0,273900.0,SPOT,273791.3,1444.5254,273919.6,273810.3,2021-05-06 23:19:57,ETH/INR,2021-05-06,23:19:57
trx,inr,10.5989,12.3538,12.1356,SPOT,11.1727,61348008.0,12.1356,12.1303,2021-05-06 23:19:57,TRX/INR,2021-05-06,23:19:57
eos,inr,659.07,1050.0,900.0,SPOT,665.0,505968.46,898.9,889.0,2021-05-06 23:19:57,EOS/INR,2021-05-06,23:19:57
zil,inr,16.22,20.2,18.6,SPOT,16.42,7555596.0,18.98,18.6,2021-05-06 23:19:57,ZIL/INR,2021-05-06,23:19:57
bat,inr,103.0,112.0,110.0,SPOT,104.0,193643.39,110.5,110.0,2021-05-06 23:19:57,BAT/INR,2021-05-06,23:19:57
zrx,inr,144.04,163.0,162.99,SPOT,144.04,72625.63,163.0,162.99,2021-05-06 23:19:57,ZRX/INR,2021-05-06,23:19:57
omg,inr,751.02,990.0,951.0,SPOT,770.0,32828.26,951.0,941.0,2021-05-06 23:19:57,OMG/INR,2021-05-06,23:19:57
iost,inr,4.72,5.23,5.09,SPOT,4.78,7821876.0,5.08,5.01,2021-05-06 23:19:57,IOST/INR,2021-05-06,23:19:57
dent,inr,0.737,0.793,0.759,SPOT,0.768,135467006.0,0.759,0.758,2021-05-06 23:19:57,DENT/INR,2021-05-06,23:19:57
hot,inr,1.13,1.213,1.165,SPOT,1.141,64526623.0,1.165,1.16,2021-05-06 23:19:57,HOT/INR,2021-05-06,23:19:57
usdt,inr,77.22,78.79,77.87,SPOT,77.9,28557793.35,77.87,77.67,2021-05-06 23:19:57,USDT/INR,2021-05-06,23:19:57
wrx,inr,173.01,193.78,180.98,SPOT,185.3,4297481.2,180.99,180.98,2021-05-06 23:19:57,WRX/INR,2021-05-06,23:19:57
matic,inr,57.3,64.0,59.977,SPOT,63.89,2118053.0,59.977,59.118,2021-05-06 23:19:57,MATIC/INR,2021-05-06,23:19:57
bch,inr,100000.0,123988.0,115100.0,SPOT,109800.0,1339.1443,117999.0,115112.0,2021-05-06 23:19:57,BCH/INR,2021-05-06,23:19:57
bnb,inr,48700.0,51000.0,49429.89,SPOT,50696.0,2166.0585,49800.0,49387.0,2021-05-06 23:19:57,BNB/INR,2021-05-06,23:19:57
btt,inr,0.541,0.65,0.627,SPOT,0.55225,1222495724.0,0.627,0.623,2021-05-06 23:19:58,BTT/INR,2021-05-06,23:19:58
chz,inr,2.5,2.5,2.5,SPOT,2.5,0.0,0.0,0.0,2021-05-06 23:19:58,CHZ/INR,2021-05-06,23:19:58
one,inr,0.56,0.56,0.56,SPOT,0.56,0.0,0.0,0.0,2021-05-06 23:19:58,ONE/INR,2021-05-06,23:19:58
yfi,inr,4100000.0,4499900.0,4199430.0,SPOT,4210000.0,1.17489,4199430.0,4100000.0,2021-05-06 23:19:58,YFI/INR,2021-05-06,23:19:58
uni,inr,3145.0,3360.0,3218.05,SPOT,3355.0,7624.7,3218.04,3161.19,2021-05-06 23:19:58,UNI/INR,2021-05-06,23:19:58
link,inr,3601.0,3900.0,3739.92,SPOT,3800.0,8582.23,3739.92,3693.0,2021-05-06 23:19:58,LINK/INR,2021-05-06,23:19:58
sxp,inr,377.0,409.99,387.27,SPOT,390.0,94409.84,387.27,383.27,2021-05-06 23:19:58,SXP/INR,2021-05-06,23:19:58
ada,inr,111.5,132.4898,130.0,SPOT,113.0,3790871.8,129.8,129.0,2021-05-06 23:19:58,ADA/INR,2021-05-06,23:19:58
nano,inr,380.0,380.0,380.0,SPOT,380.0,0.0,44900.0,0.02,2021-05-06 23:19:58,NANO/INR,2021-05-06,23:19:58
atom,inr,1860.0,2125.0,2034.0,SPOT,1885.17,9836.99,2034.0,1972.02,2021-05-06 23:19:58,ATOM/INR,2021-05-06,23:19:58
xlm,inr,45.2001,54.8,51.0111,SPOT,45.2001,1815602.8,51.11,51.0111,2021-05-06 23:19:58,XLM/INR,2021-05-06,23:19:58
fet,inr,7.0,7.0,7.0,SPOT,7.0,0.0,0.0,0.0,2021-05-06 23:19:58,FET/INR,2021-05-06,23:19:58
xem,inr,27.931,33.85,29.006,SPOT,27.934,3271210.0,29.987,29.1,2021-05-06 23:19:58,XEM/INR,2021-05-06,23:19:58
zec,inr,21400.0,25399.99,24000.0,SPOT,22400.0,308.404,24700.0,24000.01,2021-05-06 23:19:58,ZEC/INR,2021-05-06,23:19:58
busd,inr,77.0,78.47,77.93,SPOT,77.7,59482.54,77.92,77.38,2021-05-06 23:19:58,BUSD/INR,2021-05-06,23:19:58
yfii,inr,204001.0,216500.0,209000.0,SPOT,214000.0,37.035989,214099.98,209000.0,2021-05-06 23:19:58,YFII/INR,2021-05-06,23:19:58
doge,inr,42.0,53.49,46.0451,SPOT,51.5,69997819.0,46.05,46.0451,2021-05-06 23:19:58,DOGE/INR,2021-05-06,23:19:58
dot,inr,3000.0,3400.0,3297.97,SPOT,3147.95,15473.37,3297.98,3290.0,2021-05-06 23:19:58,DOT/INR,2021-05-06,23:19:58
vet,inr,15.7,17.42,16.75,SPOT,15.96,9651084.0,16.75,16.70526,2021-05-06 23:19:58,VET/INR,2021-05-06,23:19:58
crv,inr,237.1,263.0,259.99,SPOT,242.91,38755.167,259.93,248.47,2021-05-06 23:19:58,CRV/INR,2021-05-06,23:19:58
ren,inr,74.0,79.5,75.06,SPOT,75.39,137795.7,76.93,75.06,2021-05-06 23:19:58,REN/INR,2021-05-06,23:19:58
enj,inr,190.0,202.0,194.2298,SPOT,200.0,164359.9,194.5,194.2298,2021-05-06 23:19:58,ENJ/INR,2021-05-06,23:19:58
mana,inr,106.5,115.889,115.889,SPOT,108.5,115583.7,115.963,115.9,2021-05-06 23:19:58,MANA/INR,2021-05-06,23:19:58
hbar,inr,23.2,24.75,23.621,SPOT,24.0,2285072.2,23.69,23.51009,2021-05-06 23:19:58,HBAR/INR,2021-05-06,23:19:58
uma,inr,1922.0,2035.0,1999.0,SPOT,1989.0,1503.207,1998.0,1970.2,2021-05-06 23:19:58,UMA/INR,2021-05-06,23:19:58
chr,inr,26.3,29.2,27.0,SPOT,28.36,2165581.0,27.15,27.0,2021-05-06 23:19:58,CHR/INR,2021-05-06,23:19:58
paxg,inr,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 23:19:58,PAXG/INR,2021-05-06,23:19:58
1inch,inr,460.0,589.0,520.4,SPOT,468.5,399278.83,525.0,520.4,2021-05-06 23:19:58,1INCH/INR,2021-05-06,23:19:58
etc,inr,6801.0,13899.0,10500.0,SPOT,7270.0,433207.95,10506.0,10500.0,2021-05-06 23:19:58,ETC/INR,2021-05-06,23:19:58
uft,inr,126.0,142.86,128.0,SPOT,134.6,175012.54,128.0,127.8,2021-05-06 23:19:58,UFT/INR,2021-05-06,23:19:58
dock,inr,8.881,9.6,9.141,SPOT,9.1,4223873.0,9.289,9.141,2021-05-06 23:19:58,DOCK/INR,2021-05-06,23:19:58
fil,inr,11500.01,12800.0,12205.06,SPOT,11956.19,332.189,12290.0,11853.02,2021-05-06 23:19:58,FIL/INR,2021-05-06,23:19:58
win,inr,0.095,0.107,0.1042,SPOT,0.0957,6018874486.0,0.1043,0.1042,2021-05-06 23:19:58,WIN/INR,2021-05-06,23:19:58
tko,inr,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 23:19:58,TKO/INR,2021-05-06,23:19:58
push,inr,302.0,345.0,324.6,SPOT,307.0,167110.13,324.8,324.595,2021-05-06 23:19:58,PUSH/INR,2021-05-06,23:19:58
avax,inr,2654.0,3970.0,2989.0,SPOT,2666.0,51574.94,2989.0,2908.001,2021-05-06 23:19:58,AVAX/INR,2021-05-06,23:19:58
luna,inr,1283.0,1360.0,1333.0,SPOT,1349.86,4604.23,1333.0,1307.86,2021-05-06 23:19:58,LUNA/INR,2021-05-06,23:19:58
xvg,inr,4.71,5.48,5.2,SPOT,4.95,24067832.0,5.2,5.1992,2021-05-06 23:19:58,XVG/INR,2021-05-06,23:19:58
sc,inr,3.069,3.4097,3.2436,SPOT,3.1695,32343675.0,3.2424,3.2164,2021-05-06 23:19:58,SC/INR,2021-05-06,23:19:58
