base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,inr,4300000.0,4540086.0,4404698.0,SPOT,4430462.0,555.39371,4415897.0,4404698.0,2021-05-06 23:21:56,BTC/INR,2021-05-06,23:21:56
xrp,inr,122.02,136.0,127.45,SPOT,123.1105,4048633.4,127.4499,126.1101,2021-05-06 23:21:56,XRP/INR,2021-05-06,23:21:56
eth,inr,261132.3,280699.0,273500.0,SPOT,274000.0,1444.5254,273500.0,273000.0,2021-05-06 23:21:56,ETH/INR,2021-05-06,23:21:56
trx,inr,10.5989,12.3538,12.16,SPOT,11.1,61348008.0,12.17,12.16,2021-05-06 23:21:56,TRX/INR,2021-05-06,23:21:56
eos,inr,659.07,1050.0,889.0,SPOT,665.0,505968.46,899.9,889.0,2021-05-06 23:21:56,EOS/INR,2021-05-06,23:21:56
zil,inr,16.22,20.2,18.98,SPOT,16.42,7555596.0,18.98,18.61,2021-05-06 23:21:56,ZIL/INR,2021-05-06,23:21:56
bat,inr,103.0,112.0,110.0,SPOT,105.0,193643.39,110.5,110.0,2021-05-06 23:21:56,BAT/INR,2021-05-06,23:21:56
zrx,inr,144.04,163.0,162.99,SPOT,144.04,72625.63,163.0,156.37,2021-05-06 23:21:56,ZRX/INR,2021-05-06,23:21:56
omg,inr,751.02,990.0,926.0,SPOT,770.0,32828.26,940.0,926.0,2021-05-06 23:21:56,OMG/INR,2021-05-06,23:21:56
iost,inr,4.72,5.23,5.0,SPOT,4.78,7821876.0,5.08,5.0,2021-05-06 23:21:56,IOST/INR,2021-05-06,23:21:56
dent,inr,0.737,0.793,0.759,SPOT,0.765,135467006.0,0.759,0.758,2021-05-06 23:21:56,DENT/INR,2021-05-06,23:21:56
hot,inr,1.13,1.213,1.165,SPOT,1.151,64526623.0,1.165,1.16,2021-05-06 23:21:56,HOT/INR,2021-05-06,23:21:56
usdt,inr,77.22,78.79,77.87,SPOT,77.8,28557793.35,77.87,77.69,2021-05-06 23:21:56,USDT/INR,2021-05-06,23:21:56
wrx,inr,173.01,193.78,178.8,SPOT,185.32,4297481.2,179.2,179.17,2021-05-06 23:21:56,WRX/INR,2021-05-06,23:21:56
matic,inr,57.3,64.0,59.5,SPOT,63.5,2118053.0,59.5,59.118,2021-05-06 23:21:56,MATIC/INR,2021-05-06,23:21:56
bch,inr,100000.0,123988.0,115100.0,SPOT,108880.0,1339.1443,117999.0,115140.0,2021-05-06 23:21:56,BCH/INR,2021-05-06,23:21:56
bnb,inr,48700.0,51000.0,49800.0,SPOT,50695.0,2166.0585,49800.0,49429.89,2021-05-06 23:21:56,BNB/INR,2021-05-06,23:21:56
btt,inr,0.541,0.65,0.6299,SPOT,0.55223,1222495724.0,0.63,0.6299,2021-05-06 23:21:56,BTT/INR,2021-05-06,23:21:56
