base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
xrp,btc,0.00002749,0.00002992,0.00002838,SPOT,2.878e-05,34960.3,0.00002839,0.0000281,2021-05-07 08:19:59,XRP/BTC,2021-05-07,08:19:59
trx,btc,0.00000241,0.00000298,0.0000028,SPOT,2.46e-06,1035385.0,0.00000285,0.00000281,2021-05-07 08:19:59,TRX/BTC,2021-05-07,08:19:59
eth,btc,0.059672,0.063031,0.061534,SPOT,0.060374,35.6919,0.061492,0.061177,2021-05-07 08:19:59,ETH/BTC,2021-05-07,08:19:59
zil,btc,0.00000381,0.00000445,0.00000415,SPOT,3.79e-06,144779.0,0.00000416,0.00000406,2021-05-07 08:19:59,ZIL/BTC,2021-05-07,08:19:59
bat,btc,0.00002394,0.00002819,0.0000268,SPOT,2.368e-05,15111.38,0.00002676,0.00002635,2021-05-07 08:19:59,BAT/BTC,2021-05-07,08:19:59
ltc,btc,0.005852,0.006655,0.006655,SPOT,0.005944,114.551,0.006604,0.006544,2021-05-07 08:19:59,LTC/BTC,2021-05-07,08:19:59
qkc,btc,0.00000055,0.00000059,0.00000055,SPOT,5.7e-07,152178.0,0.00000058,0.00000055,2021-05-07 08:19:59,QKC/BTC,2021-05-07,08:19:59
dash,btc,0.006765,0.008404,0.007941,SPOT,0.006921,60.557,0.007803,0.007687,2021-05-07 08:19:59,DASH/BTC,2021-05-07,08:19:59
fun,btc,0.00000073,0.00000084,0.00000081,SPOT,7.4e-07,132880.0,0.00000082,0.00000078,2021-05-07 08:19:59,FUN/BTC,2021-05-07,08:19:59
iost,btc,0.00000108,0.00000129,0.00000121,SPOT,1.09e-06,170752.0,0.00000121,0.00000116,2021-05-07 08:19:59,IOST/BTC,2021-05-07,08:19:59
nuls,btc,0.00001953,0.00002785,0.00002288,SPOT,1.953e-05,7322.0,0.00002323,0.00002302,2021-05-07 08:19:59,NULS/BTC,2021-05-07,08:19:59
omg,btc,0.000179,0.000357,0.00023,SPOT,0.000174,15063.98,0.000231,0.000226,2021-05-07 08:19:59,OMG/BTC,2021-05-07,08:19:59
req,btc,0.00000242,0.00000291,0.00000255,SPOT,2.64e-06,6746.84,0.00000269,0.00000258,2021-05-07 08:19:59,REQ/BTC,2021-05-07,08:19:59
snt,btc,0.0000036,0.0000042,0.00000389,SPOT,3.72e-06,23482.0,0.00000388,0.00000378,2021-05-07 08:19:59,SNT/BTC,2021-05-07,08:19:59
theta,btc,0.00019196,0.00020341,0.00020174,SPOT,0.00019573,211.0,0.00020411,0.00020241,2021-05-07 08:19:59,THETA/BTC,2021-05-07,08:19:59
zrx,btc,0.0000338,0.00003921,0.00003921,SPOT,3.295e-05,3086.33,0.00003921,0.00003867,2021-05-07 08:19:59,ZRX/BTC,2021-05-07,08:19:59
eos,btc,0.0001584,0.0002358,0.0002068,SPOT,0.0001588,26091.33,0.000209,0.0002061,2021-05-07 08:19:59,EOS/BTC,2021-05-07,08:19:59
icx,btc,0.0000417,0.0000473,0.0000455,SPOT,4.23e-05,463.01,0.0000477,0.0000468,2021-05-07 08:19:59,ICX/BTC,2021-05-07,08:19:59
poly,btc,0.00000655,0.00000878,0.00000856,SPOT,6.89e-06,16007.0,0.00000855,0.00000847,2021-05-07 08:19:59,POLY/BTC,2021-05-07,08:19:59
pax,btc,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-07 08:19:59,PAX/BTC,2021-05-07,08:19:59
usdc,btc,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-07 08:19:59,USDC/BTC,2021-05-07,08:19:59
xlm,btc,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-07 08:19:59,XLM/BTC,2021-05-07,08:19:59
fet,btc,0.00000991,0.00001042,0.00001003,SPOT,1.036e-05,3512.0,0.00001012,0.00001003,2021-05-07 08:19:59,FET/BTC,2021-05-07,08:19:59
celr,btc,0.00000102,0.00000108,0.00000104,SPOT,1.02e-06,766494.0,0.00000104,0.00000102,2021-05-07 08:19:59,CELR/BTC,2021-05-07,08:19:59
matic,btc,0.000013,0.00001424,0.00001349,SPOT,1.374e-05,172393.6,0.00001348,0.00001347,2021-05-07 08:19:59,MATIC/BTC,2021-05-07,08:19:59
ada,btc,0.00002605,0.00003003,0.00002899,SPOT,2.608e-05,210983.9,0.00002928,0.00002907,2021-05-07 08:19:59,ADA/BTC,2021-05-07,08:19:59
rvn,btc,0.00000303,0.00000325,0.0000032,SPOT,3.06e-06,15094.0,0.00000319,0.00000316,2021-05-07 08:19:59,RVN/BTC,2021-05-07,08:19:59
xmr,btc,0.0065,0.008892,0.008721,SPOT,0.00727,23.828,0.008749,0.008721,2021-05-07 08:19:59,XMR/BTC,2021-05-07,08:19:59
atom,btc,0.0004391,0.00048,0.0004558,SPOT,0.0004408,748.16,0.0004524,0.0004513,2021-05-07 08:19:59,ATOM/BTC,2021-05-07,08:19:59
bnb,btc,0.011,0.0113001,0.011154,SPOT,0.011273,75.483,0.011166,0.011123,2021-05-07 08:19:59,BNB/BTC,2021-05-07,08:19:59
wrx,btc,0.00003936,0.00004202,0.0000411,SPOT,4.185e-05,59777.7,0.0000411,0.00004101,2021-05-07 08:19:59,WRX/BTC,2021-05-07,08:19:59
ftt,btc,0.0010049,0.0010349,0.0010257,SPOT,0.0010111,40.375,0.0010248,0.0010178,2021-05-07 08:19:59,FTT/BTC,2021-05-07,08:19:59
stmx,btc,0.00000086,0.00000093,0.00000086,SPOT,9.3e-07,88669.0,0.00000089,0.00000086,2021-05-07 08:19:59,STMX/BTC,2021-05-07,08:19:59
glm,btc,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-07 08:19:59,GLM/BTC,2021-05-07,08:19:59
