base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1411.0,1562.0,1535.0,SPOT,1472.0,108.0076,1536.0,1529.0,2021-05-06 23:33:59,ETH/WRX,2021-05-06,23:33:59
xrp,wrx,0.664,0.75,0.713,SPOT,0.664,227937.4,0.709,0.702,2021-05-06 23:33:59,XRP/WRX,2021-05-06,23:33:59
yfi,wrx,22000.0,24458.0,23326.0,SPOT,22912.0,0.389361,23250.0,22795.0,2021-05-06 23:33:59,YFI/WRX,2021-05-06,23:33:59
bnb,wrx,262.85,284.25,279.9,SPOT,271.3,120.378,279.42,275.58,2021-05-06 23:33:59,BNB/WRX,2021-05-06,23:33:59
trx,wrx,0.0576,0.0681,0.0668,SPOT,0.0606,2818820.0,0.0674,0.0666,2021-05-06 23:33:59,TRX/WRX,2021-05-06,23:33:59
eos,wrx,3.61,6.48,5.03,SPOT,3.55,22745.1,5.02,4.95,2021-05-06 23:33:59,EOS/WRX,2021-05-06,23:33:59
ltc,wrx,138.1,155.0,155.0,SPOT,146.3,174.336,155.0,154.9,2021-05-06 23:33:59,LTC/WRX,2021-05-06,23:33:59
link,wrx,19.24,21.34,20.73,SPOT,20.63,1655.97,20.87,20.61,2021-05-06 23:33:59,LINK/WRX,2021-05-06,23:33:59
enj,wrx,1.032,1.1,1.079,SPOT,1.072,23963.1,1.093,1.078,2021-05-06 23:33:59,ENJ/WRX,2021-05-06,23:33:59
doge,wrx,0.23488,0.28001,0.25496,SPOT,0.27454,2608283.0,0.25496,0.25244,2021-05-06 23:33:59,DOGE/WRX,2021-05-06,23:33:59
matic,wrx,0.3225,0.3425,0.33,SPOT,0.3391,291967.7,0.331,0.3285,2021-05-06 23:33:59,MATIC/WRX,2021-05-06,23:33:59
ada,wrx,0.605,0.74,0.729,SPOT,0.6168,172524.9,0.7366,0.7276,2021-05-06 23:33:59,ADA/WRX,2021-05-06,23:33:59
bat,wrx,0.562,0.62,0.609,SPOT,0.565,12441.52,0.62,0.606,2021-05-06 23:33:59,BAT/WRX,2021-05-06,23:33:59
