base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1411.0,1562.0,1542.0,SPOT,1457.0,128.3007,1549.0,1532.0,2021-05-06 22:43:55,ETH/WRX,2021-05-06,22:43:55
xrp,wrx,0.659,0.75,0.712,SPOT,0.661,244030.2,0.719,0.706,2021-05-06 22:43:55,XRP/WRX,2021-05-06,22:43:55
yfi,wrx,22000.0,24458.0,23326.0,SPOT,22107.0,0.677464,23787.0,23394.0,2021-05-06 22:43:55,YFI/WRX,2021-05-06,22:43:55
bnb,wrx,262.85,284.25,279.45,SPOT,270.82,121.438,278.97,274.63,2021-05-06 22:43:55,BNB/WRX,2021-05-06,22:43:55
trx,wrx,0.0576,0.068,0.0674,SPOT,0.0592,2999322.0,0.0677,0.0674,2021-05-06 22:43:55,TRX/WRX,2021-05-06,22:43:55
eos,wrx,3.55,6.48,4.96,SPOT,3.62,22704.74,5.06,4.99,2021-05-06 22:43:55,EOS/WRX,2021-05-06,22:43:55
ltc,wrx,138.1,155.0,149.5,SPOT,146.8,165.937,150.0,147.9,2021-05-06 22:43:55,LTC/WRX,2021-05-06,22:43:55
link,wrx,19.24,21.34,20.83,SPOT,20.37,1661.68,20.83,20.55,2021-05-06 22:43:55,LINK/WRX,2021-05-06,22:43:55
enj,wrx,1.032,1.1,1.097,SPOT,1.061,25048.0,1.09,1.072,2021-05-06 22:43:55,ENJ/WRX,2021-05-06,22:43:55
doge,wrx,0.23488,0.28346,0.25516,SPOT,0.26946,2740750.0,0.25646,0.25294,2021-05-06 22:43:55,DOGE/WRX,2021-05-06,22:43:55
matic,wrx,0.3225,0.3514,0.3338,SPOT,0.3426,332494.4,0.335,0.3312,2021-05-06 22:43:55,MATIC/WRX,2021-05-06,22:43:55
ada,wrx,0.605,0.735,0.7326,SPOT,0.6153,166441.5,0.7326,0.7275,2021-05-06 22:43:55,ADA/WRX,2021-05-06,22:43:55
bat,wrx,0.554,0.62,0.609,SPOT,0.554,12512.71,0.619,0.603,2021-05-06 22:43:55,BAT/WRX,2021-05-06,22:43:55
