base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1431.0,1562.0,1498.0,SPOT,1431.0,78.6274,1509.0,1500.0,2021-05-07 06:45:00,ETH/WRX,2021-05-07,06:45:00
xrp,wrx,0.67,0.728,0.696,SPOT,0.682,130395.6,0.699,0.697,2021-05-07 06:45:00,XRP/WRX,2021-05-07,06:45:00
yfi,wrx,21796.0,24458.0,22926.0,SPOT,22572.0,0.407322,22978.0,22613.0,2021-05-07 06:45:00,YFI/WRX,2021-05-07,06:45:00
bnb,wrx,266.0,284.25,274.58,SPOT,269.06,107.282,272.01,272.0,2021-05-07 06:45:00,BNB/WRX,2021-05-07,06:45:00
trx,wrx,0.0576,0.074,0.0702,SPOT,0.0589,3062831.0,0.0707,0.0703,2021-05-07 06:45:00,TRX/WRX,2021-05-07,06:45:00
eos,wrx,3.63,6.48,5.19,SPOT,3.69,24788.45,5.29,5.24,2021-05-07 06:45:00,EOS/WRX,2021-05-07,06:45:00
ltc,wrx,139.0,163.5,155.9,SPOT,139.0,188.808,160.0,159.1,2021-05-07 06:45:00,LTC/WRX,2021-05-07,06:45:00
link,wrx,19.58,21.34,20.56,SPOT,19.7,1153.86,20.76,20.51,2021-05-07 06:45:00,LINK/WRX,2021-05-07,06:45:00
enj,wrx,1.048,1.1,1.075,SPOT,1.056,24697.7,1.081,1.075,2021-05-07 06:45:00,ENJ/WRX,2021-05-07,06:45:00
doge,wrx,0.225,0.27249,0.255,SPOT,0.25196,2680169.0,0.25794,0.2578,2021-05-07 06:45:00,DOGE/WRX,2021-05-07,06:45:00
matic,wrx,0.3225,0.3529,0.333,SPOT,0.3257,255979.7,0.3356,0.3341,2021-05-07 06:45:00,MATIC/WRX,2021-05-07,06:45:00
ada,wrx,0.6068,0.74,0.7094,SPOT,0.6203,159572.0,0.71,0.7098,2021-05-07 06:45:00,ADA/WRX,2021-05-07,06:45:00
bat,wrx,0.563,0.706,0.668,SPOT,0.563,12760.73,0.675,0.662,2021-05-07 06:45:00,BAT/WRX,2021-05-07,06:45:00
