base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1411.0,1562.0,1532.0,SPOT,1468.0,78.9338,1539.0,1527.0,2021-05-07 03:01:56,ETH/WRX,2021-05-07,03:01:56
xrp,wrx,0.67,0.728,0.692,SPOT,0.714,155815.4,0.695,0.692,2021-05-07 03:01:56,XRP/WRX,2021-05-07,03:01:56
yfi,wrx,21796.0,24458.0,22442.0,SPOT,22746.0,0.412498,23188.0,22823.0,2021-05-07 03:01:56,YFI/WRX,2021-05-07,03:01:56
bnb,wrx,262.85,284.25,274.17,SPOT,271.47,124.239,277.85,274.28,2021-05-07 03:01:56,BNB/WRX,2021-05-07,03:01:56
trx,wrx,0.0576,0.074,0.0711,SPOT,0.0597,2849621.0,0.072,0.071,2021-05-07 03:01:56,TRX/WRX,2021-05-07,03:01:56
eos,wrx,3.63,6.48,5.44,SPOT,3.94,23645.88,5.41,5.33,2021-05-07 03:01:56,EOS/WRX,2021-05-07,03:01:56
ltc,wrx,138.1,163.5,161.8,SPOT,144.4,174.46,161.7,159.3,2021-05-07 03:01:56,LTC/WRX,2021-05-07,03:01:56
link,wrx,19.24,21.34,21.17,SPOT,20.06,1408.33,21.32,21.17,2021-05-07 03:01:56,LINK/WRX,2021-05-07,03:01:56
enj,wrx,1.032,1.1,1.1,SPOT,1.07,24389.6,1.1,1.09,2021-05-07 03:01:56,ENJ/WRX,2021-05-07,03:01:56
doge,wrx,0.225,0.27298,0.24029,SPOT,0.2706,2680129.0,0.24167,0.24029,2021-05-07 03:01:56,DOGE/WRX,2021-05-07,03:01:56
matic,wrx,0.3225,0.3529,0.3346,SPOT,0.3322,253274.8,0.3384,0.3362,2021-05-07 03:01:56,MATIC/WRX,2021-05-07,03:01:56
ada,wrx,0.605,0.74,0.7076,SPOT,0.6257,165065.3,0.7076,0.7037,2021-05-07 03:01:56,ADA/WRX,2021-05-07,03:01:56
bat,wrx,0.562,0.68,0.653,SPOT,0.579,13583.39,0.685,0.668,2021-05-07 03:01:56,BAT/WRX,2021-05-07,03:01:56
