base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1385.0,1543.0,1523.0,SPOT,1395.0,152.1695,1531.0,1520.0,2021-05-06 17:51:57,ETH/WRX,2021-05-06,17:51:57
xrp,wrx,0.633,0.75,0.717,SPOT,0.637,269547.2,0.723,0.719,2021-05-06 17:51:57,XRP/WRX,2021-05-06,17:51:57
yfi,wrx,21488.0,24458.0,24100.0,SPOT,21719.0,0.749959,24247.0,24100.0,2021-05-06 17:51:57,YFI/WRX,2021-05-06,17:51:57
bnb,wrx,262.85,277.16,272.96,SPOT,263.95,100.287,274.29,271.49,2021-05-06 17:51:57,BNB/WRX,2021-05-06,17:51:57
trx,wrx,0.0556,0.068,0.0665,SPOT,0.0568,3366724.0,0.0665,0.0661,2021-05-06 17:51:57,TRX/WRX,2021-05-06,17:51:57
eos,wrx,3.35,6.48,4.96,SPOT,3.34,16814.1,4.97,4.9,2021-05-06 17:51:57,EOS/WRX,2021-05-06,17:51:57
ltc,wrx,138.1,155.0,147.1,SPOT,145.0,151.789,148.4,146.3,2021-05-06 17:51:57,LTC/WRX,2021-05-06,17:51:57
link,wrx,19.24,21.34,21.22,SPOT,19.48,1596.4,21.18,20.88,2021-05-06 17:51:57,LINK/WRX,2021-05-06,17:51:57
enj,wrx,1.02,1.09,1.08,SPOT,1.034,21636.0,1.08,1.078,2021-05-06 17:51:57,ENJ/WRX,2021-05-06,17:51:57
doge,wrx,0.24026,0.28346,0.25375,SPOT,0.277,3390199.0,0.25506,0.25496,2021-05-06 17:51:57,DOGE/WRX,2021-05-06,17:51:57
matic,wrx,0.3185,0.3514,0.3305,SPOT,0.3199,403130.3,0.3313,0.3305,2021-05-06 17:51:57,MATIC/WRX,2021-05-06,17:51:57
ada,wrx,0.578,0.71,0.7011,SPOT,0.5884,154336.9,0.7012,0.6933,2021-05-06 17:51:57,ADA/WRX,2021-05-06,17:51:57
bat,wrx,0.536,0.61,0.6,SPOT,0.536,12534.63,0.6,0.595,2021-05-06 17:51:57,BAT/WRX,2021-05-06,17:51:57
