base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1411.0,1562.0,1527.0,SPOT,1467.0,79.6928,1542.0,1529.0,2021-05-07 03:27:58,ETH/WRX,2021-05-07,03:27:58
xrp,wrx,0.67,0.728,0.695,SPOT,0.72,151394.8,0.695,0.69,2021-05-07 03:27:58,XRP/WRX,2021-05-07,03:27:58
yfi,wrx,21796.0,24458.0,22442.0,SPOT,22676.0,0.406175,23098.0,22722.0,2021-05-07 03:27:58,YFI/WRX,2021-05-07,03:27:58
bnb,wrx,262.85,284.25,274.73,SPOT,271.47,125.312,278.2,275.09,2021-05-07 03:27:58,BNB/WRX,2021-05-07,03:27:58
trx,wrx,0.0576,0.074,0.0698,SPOT,0.0605,2980211.0,0.0698,0.0692,2021-05-07 03:27:58,TRX/WRX,2021-05-07,03:27:58
eos,wrx,3.63,6.48,5.15,SPOT,3.91,24146.61,5.16,5.1,2021-05-07 03:27:58,EOS/WRX,2021-05-07,03:27:58
ltc,wrx,138.1,163.5,156.7,SPOT,145.9,184.838,158.9,157.7,2021-05-07 03:27:58,LTC/WRX,2021-05-07,03:27:58
link,wrx,19.24,21.34,20.87,SPOT,20.23,1428.93,21.16,20.91,2021-05-07 03:27:58,LINK/WRX,2021-05-07,03:27:58
enj,wrx,1.032,1.1,1.095,SPOT,1.06,24337.9,1.1,1.08,2021-05-07 03:27:58,ENJ/WRX,2021-05-07,03:27:58
doge,wrx,0.225,0.27298,0.26523,SPOT,0.27204,2783631.0,0.26523,0.26522,2021-05-07 03:27:58,DOGE/WRX,2021-05-07,03:27:58
matic,wrx,0.3225,0.3529,0.335,SPOT,0.3334,249691.3,0.3384,0.3372,2021-05-07 03:27:58,MATIC/WRX,2021-05-07,03:27:58
ada,wrx,0.605,0.74,0.71,SPOT,0.623,166515.2,0.7083,0.7005,2021-05-07 03:27:58,ADA/WRX,2021-05-07,03:27:58
bat,wrx,0.562,0.69,0.69,SPOT,0.579,13938.12,0.7,0.687,2021-05-07 03:27:58,BAT/WRX,2021-05-07,03:27:58
