base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1448.0,1562.0,1448.0,SPOT,1454.0,85.155,1461.0,1445.0,2021-05-07 11:05:00,ETH/WRX,2021-05-07,11:05:00
xrp,wrx,0.67,0.728,0.67,SPOT,0.704,129896.2,0.684,0.67,2021-05-07 11:05:00,XRP/WRX,2021-05-07,11:05:00
yfi,wrx,21796.0,24458.0,21800.0,SPOT,22396.0,0.434138,21761.0,21430.0,2021-05-07 11:05:00,YFI/WRX,2021-05-07,11:05:00
bnb,wrx,263.0,284.25,263.0,SPOT,271.53,161.551,263.9,263.0,2021-05-07 11:05:00,BNB/WRX,2021-05-07,11:05:00
trx,wrx,0.0592,0.074,0.0686,SPOT,0.0594,3033406.0,0.0686,0.0685,2021-05-07 11:05:00,TRX/WRX,2021-05-07,11:05:00
eos,wrx,3.86,6.48,5.0,SPOT,3.95,26690.16,5.0,4.95,2021-05-07 11:05:00,EOS/WRX,2021-05-07,11:05:00
ltc,wrx,143.1,163.5,151.5,SPOT,144.1,204.103,152.5,151.2,2021-05-07 11:05:00,LTC/WRX,2021-05-07,11:05:00
link,wrx,20.0,21.34,20.0,SPOT,20.06,1007.37,20.0,19.73,2021-05-07 11:05:00,LINK/WRX,2021-05-07,11:05:00
enj,wrx,1.05,1.1,1.084,SPOT,1.061,25206.0,1.095,1.077,2021-05-07 11:05:00,ENJ/WRX,2021-05-07,11:05:00
doge,wrx,0.225,0.28275,0.26072,SPOT,0.2533,2785178.0,0.26148,0.26015,2021-05-07 11:05:00,DOGE/WRX,2021-05-07,11:05:00
matic,wrx,0.3219,0.3529,0.3219,SPOT,0.3315,273895.7,0.3238,0.321,2021-05-07 11:05:00,MATIC/WRX,2021-05-07,11:05:00
ada,wrx,0.6725,0.74,0.6958,SPOT,0.677,147348.1,0.6972,0.6908,2021-05-07 11:05:00,ADA/WRX,2021-05-07,11:05:00
bat,wrx,0.569,0.706,0.65,SPOT,0.579,12740.23,0.65,0.637,2021-05-07 11:05:00,BAT/WRX,2021-05-07,11:05:00
