base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1385.0,1543.0,1531.0,SPOT,1405.0,152.1695,1533.0,1523.0,2021-05-06 17:53:58,ETH/WRX,2021-05-06,17:53:58
xrp,wrx,0.633,0.75,0.723,SPOT,0.637,269547.2,0.723,0.722,2021-05-06 17:53:58,XRP/WRX,2021-05-06,17:53:58
yfi,wrx,21488.0,24458.0,24100.0,SPOT,21822.0,0.749959,24097.0,24000.0,2021-05-06 17:53:58,YFI/WRX,2021-05-06,17:53:58
bnb,wrx,262.85,277.16,272.96,SPOT,263.95,100.287,274.86,271.49,2021-05-06 17:53:58,BNB/WRX,2021-05-06,17:53:58
trx,wrx,0.0556,0.068,0.0665,SPOT,0.0559,3366724.0,0.0665,0.0661,2021-05-06 17:53:58,TRX/WRX,2021-05-06,17:53:58
eos,wrx,3.35,6.48,4.96,SPOT,3.34,16814.1,4.96,4.92,2021-05-06 17:53:58,EOS/WRX,2021-05-06,17:53:58
ltc,wrx,138.1,155.0,147.1,SPOT,145.0,151.789,149.3,146.9,2021-05-06 17:53:58,LTC/WRX,2021-05-06,17:53:58
link,wrx,19.24,21.34,21.2,SPOT,19.48,1596.4,21.25,20.24,2021-05-06 17:53:58,LINK/WRX,2021-05-06,17:53:58
enj,wrx,1.023,1.09,1.08,SPOT,1.034,21636.0,1.08,1.078,2021-05-06 17:53:58,ENJ/WRX,2021-05-06,17:53:58
doge,wrx,0.24026,0.28346,0.25381,SPOT,0.271,3390199.0,0.25526,0.25381,2021-05-06 17:53:58,DOGE/WRX,2021-05-06,17:53:58
matic,wrx,0.3185,0.3514,0.3305,SPOT,0.3191,403130.3,0.3315,0.3305,2021-05-06 17:53:58,MATIC/WRX,2021-05-06,17:53:58
ada,wrx,0.578,0.71,0.6935,SPOT,0.5884,154336.9,0.6941,0.693,2021-05-06 17:53:58,ADA/WRX,2021-05-06,17:53:58
bat,wrx,0.536,0.61,0.6,SPOT,0.536,12534.63,0.599,0.598,2021-05-06 17:53:58,BAT/WRX,2021-05-06,17:53:58
