base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,56537.0,SPOT,57144.0,16.59416,56587.0,56433.0,2021-05-06 23:25:56,BTC/USDT,2021-05-06,23:25:56
trx,usdt,0.13601,0.158,0.15359,SPOT,0.14388,11131696.0,0.15457,0.15422,2021-05-06 23:25:56,TRX/USDT,2021-05-06,23:25:56
xrp,usdt,1.55,1.75155,1.6138,SPOT,1.5888,1220301.8,1.6138,1.6076,2021-05-06 23:25:56,XRP/USDT,2021-05-06,23:25:56
eos,usdt,8.4991,13.27,11.7,SPOT,8.5273,129430.28,11.7,11.2,2021-05-06 23:25:56,EOS/USDT,2021-05-06,23:25:56
eth,usdt,3380.0,3625.0,3484.85,SPOT,3530.0,357.7966,3504.02,3491.78,2021-05-06 23:25:57,ETH/USDT,2021-05-06,23:25:57
icx,usdt,2.3195,2.5407,2.4915,SPOT,2.3628,27330.56,2.4853,2.4493,2021-05-06 23:25:57,ICX/USDT,2021-05-06,23:25:57
ltc,usdt,325.0,363.98,353.71,SPOT,349.0,1290.287,355.0,352.04,2021-05-06 23:25:57,LTC/USDT,2021-05-06,23:25:57
tusd,usdt,0.9631,1.0034,1.0025,SPOT,0.9971,168022.99,1.0033,1.0025,2021-05-06 23:25:57,TUSD/USDT,2021-05-06,23:25:57
hot,usdt,0.01423,0.0156687,0.015009,SPOT,0.01473,32737704.0,0.014945,0.0148775,2021-05-06 23:25:57,HOT/USDT,2021-05-06,23:25:57
bat,usdt,1.32,1.4449,1.4096,SPOT,1.356,95173.2,1.4234,1.395,2021-05-06 23:25:57,BAT/USDT,2021-05-06,23:25:57
dash,usdt,374.99,450.66,450.65,SPOT,397.9,276.773,454.99,439.58,2021-05-06 23:25:57,DASH/USDT,2021-05-06,23:25:57
ncash,usdt,0.0066,0.007291,0.00675,SPOT,0.00716,29222160.0,0.006777,0.00675,2021-05-06 23:25:57,NCASH/USDT,2021-05-06,23:25:57
qkc,usdt,0.03,0.0334,0.03254,SPOT,0.02989,3069597.0,0.03279,0.0326,2021-05-06 23:25:57,QKC/USDT,2021-05-06,23:25:57
