base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,56004.0,SPOT,56900.0,19.80092,55988.0,55955.0,2021-05-07 03:09:56,BTC/USDT,2021-05-07,03:09:56
trx,usdt,0.13601,0.16788,0.15963,SPOT,0.1442,13135929.0,0.15962,0.15888,2021-05-07 03:09:56,TRX/USDT,2021-05-07,03:09:56
xrp,usdt,1.5265,1.732,1.556,SPOT,1.7128,975621.1,1.55988,1.5554,2021-05-07 03:09:56,XRP/USDT,2021-05-07,03:09:56
eos,usdt,8.5,13.27,12.101,SPOT,9.3127,127536.31,12.1929,12.1366,2021-05-07 03:09:56,EOS/USDT,2021-05-07,03:09:56
eth,usdt,3380.0,3625.0,3442.12,SPOT,3473.86,377.0693,3442.12,3431.93,2021-05-07 03:09:56,ETH/USDT,2021-05-07,03:09:56
icx,usdt,2.3228,2.5578,2.5316,SPOT,2.4119,28738.46,2.5347,2.5201,2021-05-07 03:09:56,ICX/USDT,2021-05-07,03:09:56
ltc,usdt,325.0,371.5,361.51,SPOT,344.22,1123.658,361.0,354.0,2021-05-07 03:09:56,LTC/USDT,2021-05-07,03:09:56
tusd,usdt,0.9631,1.0037,0.9994,SPOT,0.995,174366.5,1.0037,0.995,2021-05-07 03:09:56,TUSD/USDT,2021-05-07,03:09:56
hot,usdt,0.01423,0.0158,0.015,SPOT,0.014821,35338231.0,0.015071,0.0149635,2021-05-07 03:09:56,HOT/USDT,2021-05-07,03:09:56
bat,usdt,1.32,1.55,1.5283,SPOT,1.3834,107154.06,1.5283,1.5272,2021-05-07 03:09:56,BAT/USDT,2021-05-07,03:09:56
dash,usdt,374.99,476.37,450.21,SPOT,395.34,389.9,454.32,452.44,2021-05-07 03:09:56,DASH/USDT,2021-05-07,03:09:56
ncash,usdt,0.0066,0.007284,0.006792,SPOT,0.007143,30567602.0,0.0068,0.006794,2021-05-07 03:09:56,NCASH/USDT,2021-05-07,03:09:56
qkc,usdt,0.03102,0.03339,0.03232,SPOT,0.03289,2645126.0,0.03233,0.03142,2021-05-07 03:09:56,QKC/USDT,2021-05-07,03:09:56
zil,usdt,0.204,0.25736,0.22454,SPOT,0.21369,2108633.0,0.22472,0.22054,2021-05-07 03:09:56,ZIL/USDT,2021-05-07,03:09:56
zrx,usdt,1.854,2.1506,2.0547,SPOT,1.9153,58025.88,2.0659,2.0553,2021-05-07 03:09:56,ZRX/USDT,2021-05-07,03:09:56
bch,usdt,1274.02,1598.0,1401.51,SPOT,1359.07,587.6833,1402.81,1396.01,2021-05-07 03:09:56,BCH/USDT,2021-05-07,03:09:56
bchsv,usdt,350.02,450.5,436.81,SPOT,427.0,206.798,436.99,418.5,2021-05-07 03:09:56,BCHSV/USDT,2021-05-07,03:09:56
pax,usdt,0.9941,1.0031,1.0022,SPOT,0.9949,3630.76,1.0031,0.9951,2021-05-07 03:09:56,PAX/USDT,2021-05-07,03:09:56
usdc,usdt,0.995,0.999,0.997,SPOT,0.996,16539.13,0.998,0.996,2021-05-07 03:09:56,USDC/USDT,2021-05-07,03:09:56
omg,usdt,9.646,19.8682,13.5538,SPOT,9.9191,51744.26,13.8941,13.63,2021-05-07 03:09:56,OMG/USDT,2021-05-07,03:09:56
poly,usdt,0.3625,0.3999,0.365,SPOT,0.3862,59050.0,0.3673,0.365,2021-05-07 03:09:56,POLY/USDT,2021-05-07,03:09:56
dent,usdt,0.00936,0.01025,0.00979,SPOT,0.009701,45400236.0,0.00979,0.009724,2021-05-07 03:09:56,DENT/USDT,2021-05-07,03:09:56
iost,usdt,0.05967,0.07384,0.06804,SPOT,0.06173,5815070.0,0.06804,0.067,2021-05-07 03:09:56,IOST/USDT,2021-05-07,03:09:56
fun,usdt,0.040166,0.0485,0.042563,SPOT,0.041023,3898318.0,0.042566,0.042563,2021-05-07 03:09:56,FUN/USDT,2021-05-07,03:09:56
snt,usdt,0.198,0.238,0.22358,SPOT,0.20348,344115.0,0.22358,0.22162,2021-05-07 03:09:56,SNT/USDT,2021-05-07,03:09:56
