base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,55702.0,SPOT,56732.0,22.18516,55754.0,55702.0,2021-05-07 03:33:55,BTC/USDT,2021-05-07,03:33:55
trx,usdt,0.13601,0.16788,0.15484,SPOT,0.14322,13004107.0,0.1558,0.15499,2021-05-07 03:33:55,TRX/USDT,2021-05-07,03:33:55
xrp,usdt,1.5265,1.732,1.54949,SPOT,1.68499,981901.3,1.57,1.54949,2021-05-07 03:33:55,XRP/USDT,2021-05-07,03:33:55
eos,usdt,8.5,13.27,11.4498,SPOT,9.2249,128004.36,11.6226,11.5174,2021-05-07 03:33:55,EOS/USDT,2021-05-07,03:33:55
eth,usdt,3380.0,3625.0,3436.34,SPOT,3470.87,388.065,3480.0,3420.07,2021-05-07 03:33:55,ETH/USDT,2021-05-07,03:33:55
icx,usdt,2.3228,2.5578,2.4848,SPOT,2.3968,28746.22,2.5063,2.4913,2021-05-07 03:33:55,ICX/USDT,2021-05-07,03:33:55
ltc,usdt,325.0,371.5,352.66,SPOT,342.54,1123.182,354.0,352.15,2021-05-07 03:33:55,LTC/USDT,2021-05-07,03:33:55
tusd,usdt,0.9631,1.0037,0.9993,SPOT,0.9946,177610.55,0.9993,0.9951,2021-05-07 03:33:55,TUSD/USDT,2021-05-07,03:33:55
hot,usdt,0.01423,0.0158,0.014759,SPOT,0.0148162,35328398.0,0.014819,0.014715,2021-05-07 03:33:55,HOT/USDT,2021-05-07,03:33:55
bat,usdt,1.32,1.5899,1.5419,SPOT,1.3833,111824.73,1.5419,1.5,2021-05-07 03:33:55,BAT/USDT,2021-05-07,03:33:55
dash,usdt,374.99,476.37,435.93,SPOT,391.18,382.391,442.81,440.42,2021-05-07 03:33:55,DASH/USDT,2021-05-07,03:33:55
ncash,usdt,0.0066,0.007284,0.006791,SPOT,0.007142,30768662.0,0.006791,0.00679,2021-05-07 03:33:55,NCASH/USDT,2021-05-07,03:33:55
qkc,usdt,0.03102,0.03339,0.03142,SPOT,0.03293,2669443.0,0.03142,0.0314,2021-05-07 03:33:55,QKC/USDT,2021-05-07,03:33:55
zil,usdt,0.204,0.25736,0.22168,SPOT,0.21254,2112766.0,0.22168,0.22167,2021-05-07 03:33:55,ZIL/USDT,2021-05-07,03:33:55
zrx,usdt,1.854,2.1506,2.0029,SPOT,1.9071,58182.67,2.026,2.009,2021-05-07 03:33:55,ZRX/USDT,2021-05-07,03:33:55
bch,usdt,1274.02,1598.0,1365.8,SPOT,1351.35,577.9907,1384.75,1371.12,2021-05-07 03:33:55,BCH/USDT,2021-05-07,03:33:55
bchsv,usdt,350.02,450.5,416.91,SPOT,435.5,211.594,431.9,416.9,2021-05-07 03:33:55,BCHSV/USDT,2021-05-07,03:33:55
pax,usdt,0.9941,1.0031,1.0022,SPOT,0.9949,11145.25,1.0031,0.9951,2021-05-07 03:33:55,PAX/USDT,2021-05-07,03:33:55
usdc,usdt,0.995,0.999,0.997,SPOT,0.996,17899.25,0.999,0.996,2021-05-07 03:33:55,USDC/USDT,2021-05-07,03:33:55
omg,usdt,9.646,19.8682,12.8813,SPOT,10.1255,55410.04,13.1186,12.8813,2021-05-07 03:33:55,OMG/USDT,2021-05-07,03:33:55
poly,usdt,0.3625,0.3999,0.3869,SPOT,0.387,59496.0,0.3853,0.376,2021-05-07 03:33:55,POLY/USDT,2021-05-07,03:33:55
dent,usdt,0.00936,0.01025,0.00966,SPOT,0.009788,43569751.0,0.00966,0.009626,2021-05-07 03:33:55,DENT/USDT,2021-05-07,03:33:55
iost,usdt,0.05967,0.07384,0.06597,SPOT,0.06198,5833436.0,0.06684,0.06628,2021-05-07 03:33:55,IOST/USDT,2021-05-07,03:33:55
fun,usdt,0.040166,0.0485,0.042585,SPOT,0.041023,3894866.0,0.043012,0.043011,2021-05-07 03:33:55,FUN/USDT,2021-05-07,03:33:55
snt,usdt,0.198,0.238,0.2224,SPOT,0.225,332911.0,0.21831,0.21137,2021-05-07 03:33:55,SNT/USDT,2021-05-07,03:33:55
theta,usdt,10.6,11.478,11.0,SPOT,11.234,6914.5,10.99658,10.968,2021-05-07 03:33:55,THETA/USDT,2021-05-07,03:33:55
req,usdt,0.14184,0.165,0.14416,SPOT,0.15058,73991.0,0.14334,0.14184,2021-05-07 03:33:55,REQ/USDT,2021-05-07,03:33:55
xlm,usdt,0.594,0.698,0.61766,SPOT,0.62859,606414.3,0.62182,0.61874,2021-05-07 03:33:55,XLM/USDT,2021-05-07,03:33:55
xtz,usdt,6.4517,8.4,7.6038,SPOT,6.78,20267.24,7.7174,7.6519,2021-05-07 03:33:55,XTZ/USDT,2021-05-07,03:33:55
btt,usdt,0.0069334,0.0090888,0.0080767,SPOT,0.0070257,236717123.0,0.00808,0.0080201,2021-05-07 03:33:55,BTT/USDT,2021-05-07,03:33:55
fet,usdt,0.5496,0.6128,0.5496,SPOT,0.588,63091.0,0.5899,0.5488,2021-05-07 03:33:55,FET/USDT,2021-05-07,03:33:55
tfuel,usdt,0.37125,0.4078,0.38633,SPOT,0.39836,84190.0,0.38651,0.38318,2021-05-07 03:33:55,TFUEL/USDT,2021-05-07,03:33:55
celr,usdt,0.05699,0.06217,0.05702,SPOT,0.0606,1026046.0,0.05784,0.05716,2021-05-07 03:33:55,CELR/USDT,2021-05-07,03:33:55
matic,usdt,0.72,0.80618,0.76177,SPOT,0.79892,716015.1,0.76179,0.75506,2021-05-07 03:33:55,MATIC/USDT,2021-05-07,03:33:55
ada,usdt,1.43,1.699,1.571,SPOT,1.47,1110139.1,1.56889,1.5653,2021-05-07 03:33:55,ADA/USDT,2021-05-07,03:33:55
rvn,usdt,0.17,0.189,0.1735,SPOT,0.1724,93396.0,0.17497,0.1725,2021-05-07 03:33:55,RVN/USDT,2021-05-07,03:33:55
xmr,usdt,351.05,456.88,455.0,SPOT,411.12,43.842,459.75,457.29,2021-05-07 03:33:55,XMR/USDT,2021-05-07,03:33:55
