base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55001.0,58217.0,57000.0,SPOT,57247.0,14.89626,56941.0,56700.0,2021-05-06 17:47:53,BTC/USDT,2021-05-06,17:47:53
trx,usdt,0.13359,0.158,0.15555,SPOT,0.13873,11633343.0,0.15557,0.15538,2021-05-06 17:47:53,TRX/USDT,2021-05-06,17:47:53
xrp,usdt,1.5437,1.75155,1.6926,SPOT,1.5614,1168061.5,1.6922,1.6862,2021-05-06 17:47:53,XRP/USDT,2021-05-06,17:47:53
eos,usdt,8.0,13.27,11.5,SPOT,8.17,115457.11,11.5692,11.5,2021-05-06 17:47:53,EOS/USDT,2021-05-06,17:47:53
eth,usdt,3380.0,3625.0,3562.26,SPOT,3407.15,374.2115,3574.15,3560.09,2021-05-06 17:47:53,ETH/USDT,2021-05-06,17:47:53
icx,usdt,2.3195,2.537,2.5339,SPOT,2.3552,24809.34,2.5348,2.532,2021-05-06 17:47:53,ICX/USDT,2021-05-06,17:47:53
ltc,usdt,325.0,363.98,345.0,SPOT,351.0,1386.478,344.68,342.77,2021-05-06 17:47:53,LTC/USDT,2021-05-06,17:47:53
tusd,usdt,0.9631,1.0034,0.9987,SPOT,0.9977,170815.83,0.9987,0.9681,2021-05-06 17:47:53,TUSD/USDT,2021-05-06,17:47:53
hot,usdt,0.0144,0.0156687,0.0151544,SPOT,0.01479,29638093.0,0.015158,0.0151544,2021-05-06 17:47:53,HOT/USDT,2021-05-06,17:47:53
bat,usdt,1.237,1.4449,1.41,SPOT,1.3202,116403.58,1.41,1.4019,2021-05-06 17:47:53,BAT/USDT,2021-05-06,17:47:53
dash,usdt,374.99,447.14,426.49,SPOT,405.1,358.444,429.54,380.0,2021-05-06 17:47:53,DASH/USDT,2021-05-06,17:47:53
ncash,usdt,0.006807,0.007291,0.006885,SPOT,0.007143,26959753.0,0.006911,0.0069,2021-05-06 17:47:53,NCASH/USDT,2021-05-06,17:47:53
qkc,usdt,0.0298,0.0334,0.033,SPOT,0.03061,2785720.0,0.03308,0.033,2021-05-06 17:47:53,QKC/USDT,2021-05-06,17:47:53
zil,usdt,0.204,0.25736,0.25035,SPOT,0.21137,1736270.0,0.253,0.244,2021-05-06 17:47:53,ZIL/USDT,2021-05-06,17:47:53
zrx,usdt,1.8157,2.0675,2.0587,SPOT,1.871,46171.01,2.0508,2.035,2021-05-06 17:47:53,ZRX/USDT,2021-05-06,17:47:53
bch,usdt,1226.0,1598.0,1524.67,SPOT,1271.76,712.4555,1542.21,1515.14,2021-05-06 17:47:53,BCH/USDT,2021-05-06,17:47:53
bchsv,usdt,350.02,441.75,424.0,SPOT,414.0,199.3,436.8,424.0,2021-05-06 17:47:53,BCHSV/USDT,2021-05-06,17:47:53
pax,usdt,0.9941,1.0031,0.9942,SPOT,1.003,647.9,1.003,0.9944,2021-05-06 17:47:53,PAX/USDT,2021-05-06,17:47:53
usdc,usdt,0.995,1.001,0.995,SPOT,0.996,12295.69,0.999,0.995,2021-05-06 17:47:53,USDC/USDT,2021-05-06,17:47:53
omg,usdt,9.646,11.2,11.0,SPOT,10.0,9357.66,11.0664,11.0,2021-05-06 17:47:53,OMG/USDT,2021-05-06,17:47:53
poly,usdt,0.3682,0.3999,0.3795,SPOT,0.3752,43535.0,0.3898,0.3795,2021-05-06 17:47:53,POLY/USDT,2021-05-06,17:47:53
dent,usdt,0.00955,0.01025,0.009949,SPOT,0.009875,49463818.0,0.009889,0.009824,2021-05-06 17:47:53,DENT/USDT,2021-05-06,17:47:53
iost,usdt,0.05915,0.06801,0.06568,SPOT,0.06153,4051111.0,0.06568,0.06518,2021-05-06 17:47:53,IOST/USDT,2021-05-06,17:47:53
fun,usdt,0.04001,0.0485,0.04219,SPOT,0.041103,3542027.0,0.04211,0.041793,2021-05-06 17:47:53,FUN/USDT,2021-05-06,17:47:53
snt,usdt,0.17466,0.23035,0.22091,SPOT,0.1749,350961.0,0.22091,0.22,2021-05-06 17:47:53,SNT/USDT,2021-05-06,17:47:53
theta,usdt,10.748,11.384,10.902,SPOT,10.992,6281.6,10.94,10.902,2021-05-06 17:47:53,THETA/USDT,2021-05-06,17:47:53
req,usdt,0.14445,0.165,0.14925,SPOT,0.1492,69825.0,0.15165,0.14925,2021-05-06 17:47:53,REQ/USDT,2021-05-06,17:47:53
xlm,usdt,0.57003,0.67783,0.66649,SPOT,0.59447,663972.0,0.66811,0.6632,2021-05-06 17:47:53,XLM/USDT,2021-05-06,17:47:53
xtz,usdt,6.4517,8.4,7.53,SPOT,6.5,16680.44,7.7285,7.5105,2021-05-06 17:47:53,XTZ/USDT,2021-05-06,17:47:53
btt,usdt,0.0068157,0.008401,0.00786,SPOT,0.0070316,176100444.0,0.0078802,0.0078451,2021-05-06 17:47:54,BTT/USDT,2021-05-06,17:47:54
fet,usdt,0.5705,0.615,0.5784,SPOT,0.615,63925.0,0.5782,0.575,2021-05-06 17:47:54,FET/USDT,2021-05-06,17:47:54
tfuel,usdt,0.36999,0.408,0.39494,SPOT,0.38112,106596.0,0.39496,0.39494,2021-05-06 17:47:54,TFUEL/USDT,2021-05-06,17:47:54
celr,usdt,0.059,0.06307,0.06034,SPOT,0.06331,1062846.0,0.06035,0.06034,2021-05-06 17:47:54,CELR/USDT,2021-05-06,17:47:54
matic,usdt,0.7591,0.83339,0.7736,SPOT,0.77944,822984.3,0.77658,0.7736,2021-05-06 17:47:54,MATIC/USDT,2021-05-06,17:47:54
ada,usdt,1.4062,1.6829,1.63881,SPOT,1.4233,989577.4,1.63529,1.62,2021-05-06 17:47:54,ADA/USDT,2021-05-06,17:47:54
rvn,usdt,0.16909,0.189,0.17942,SPOT,0.17333,83957.0,0.17941,0.178,2021-05-06 17:47:54,RVN/USDT,2021-05-06,17:47:54
xmr,usdt,351.05,425.62,420.99,SPOT,407.35,40.126,424.36,383.0,2021-05-06 17:47:54,XMR/USDT,2021-05-06,17:47:54
atom,usdt,23.194,27.217,26.024,SPOT,23.336,5902.73,26.002,23.51,2021-05-06 17:47:54,ATOM/USDT,2021-05-06,17:47:54
algo,usdt,1.4,1.57,1.555,SPOT,1.426,34942.763,1.561,1.556,2021-05-06 17:47:54,ALGO/USDT,2021-05-06,17:47:54
link,usdt,45.861,50.0,49.3,SPOT,47.986,5594.95,49.209,48.885,2021-05-06 17:47:54,LINK/USDT,2021-05-06,17:47:54
qtum,usdt,16.012,23.9,22.763,SPOT,16.083,8406.041,22.773,22.763,2021-05-06 17:47:54,QTUM/USDT,2021-05-06,17:47:54
etc,usdt,84.5936,147.7,144.9,SPOT,88.221,57107.63,144.9,144.4033,2021-05-06 17:47:54,ETC/USDT,2021-05-06,17:47:54
iota,usdt,1.9686,2.1951,2.1606,SPOT,2.0162,13311.89,2.1617,2.1606,2021-05-06 17:47:54,IOTA/USDT,2021-05-06,17:47:54
zec,usdt,263.27,321.64,319.38,SPOT,277.12,280.998,318.68,316.96,2021-05-06 17:47:54,ZEC/USDT,2021-05-06,17:47:54
waves,usdt,33.2258,40.9154,35.432,SPOT,35.2,2386.71,35.284,35.0,2021-05-06 17:47:54,WAVES/USDT,2021-05-06,17:47:54
ftm,usdt,0.7532,0.83,0.76267,SPOT,0.83,165667.2,0.76927,0.76,2021-05-06 17:47:54,FTM/USDT,2021-05-06,17:47:54
enj,usdt,2.47808,2.5878,2.5234,SPOT,2.5061,52305.1,2.5312,2.5098,2021-05-06 17:47:54,ENJ/USDT,2021-05-06,17:47:54
lsk,usdt,5.9192,6.8364,6.8,SPOT,6.0395,8058.2,6.8028,6.732,2021-05-06 17:47:54,LSK/USDT,2021-05-06,17:47:54
steem,usdt,0.8695,1.4099,1.13,SPOT,0.8844,114345.2,1.1749,1.1304,2021-05-06 17:47:54,STEEM/USDT,2021-05-06,17:47:54
xvg,usdt,0.05947,0.0699,0.06736,SPOT,0.06126,11191951.0,0.06736,0.06691,2021-05-06 17:47:54,XVG/USDT,2021-05-06,17:47:54
loom,usdt,0.13903,0.155,0.14339,SPOT,0.14251,123883.0,0.145,0.14344,2021-05-06 17:47:54,LOOM/USDT,2021-05-06,17:47:54
mana,usdt,1.3527,1.44867,1.4088,SPOT,1.3943,53505.7,1.423,1.4098,2021-05-06 17:47:54,MANA/USDT,2021-05-06,17:47:54
