base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,55835.0,SPOT,56732.0,22.29286,55835.0,55703.0,2021-05-07 03:47:55,BTC/USDT,2021-05-07,03:47:55
trx,usdt,0.13601,0.16788,0.1563,SPOT,0.14459,13067577.0,0.15623,0.15622,2021-05-07 03:47:55,TRX/USDT,2021-05-07,03:47:55
xrp,usdt,1.5265,1.732,1.5631,SPOT,1.68287,990599.5,1.5649,1.56311,2021-05-07 03:47:56,XRP/USDT,2021-05-07,03:47:56
eos,usdt,8.5,13.27,11.7052,SPOT,9.1681,127929.56,11.8,11.7052,2021-05-07 03:47:56,EOS/USDT,2021-05-07,03:47:56
eth,usdt,3380.0,3625.0,3422.33,SPOT,3462.03,397.2047,3430.98,3426.97,2021-05-07 03:47:56,ETH/USDT,2021-05-07,03:47:56
icx,usdt,2.3228,2.5578,2.4848,SPOT,2.3925,28852.84,2.5459,2.5062,2021-05-07 03:47:56,ICX/USDT,2021-05-07,03:47:56
ltc,usdt,325.0,371.5,354.08,SPOT,345.35,1131.127,355.91,351.09,2021-05-07 03:47:56,LTC/USDT,2021-05-07,03:47:56
tusd,usdt,0.9631,1.0037,0.9993,SPOT,0.9946,178330.77,0.9993,0.9951,2021-05-07 03:47:56,TUSD/USDT,2021-05-07,03:47:56
hot,usdt,0.01423,0.0158,0.014805,SPOT,0.014878,35452271.0,0.014918,0.014821,2021-05-07 03:47:56,HOT/USDT,2021-05-07,03:47:56
bat,usdt,1.32,1.5899,1.58,SPOT,1.3941,117603.65,1.5899,1.5705,2021-05-07 03:47:56,BAT/USDT,2021-05-07,03:47:56
dash,usdt,374.99,476.37,440.9,SPOT,392.51,385.586,456.29,438.79,2021-05-07 03:47:56,DASH/USDT,2021-05-07,03:47:56
ncash,usdt,0.0066,0.007284,0.006852,SPOT,0.007283,30488835.0,0.0069,0.006899,2021-05-07 03:47:56,NCASH/USDT,2021-05-07,03:47:56
qkc,usdt,0.03102,0.03339,0.032,SPOT,0.03248,2657524.0,0.03231,0.0321,2021-05-07 03:47:56,QKC/USDT,2021-05-07,03:47:56
zil,usdt,0.204,0.25736,0.22438,SPOT,0.21429,2129768.0,0.2262,0.2235,2021-05-07 03:47:56,ZIL/USDT,2021-05-07,03:47:56
zrx,usdt,1.854,2.1506,2.0216,SPOT,1.9199,56896.52,2.026,2.0164,2021-05-07 03:47:56,ZRX/USDT,2021-05-07,03:47:56
bch,usdt,1274.02,1598.0,1369.79,SPOT,1344.11,588.72,1391.53,1384.65,2021-05-07 03:47:56,BCH/USDT,2021-05-07,03:47:56
bchsv,usdt,350.02,450.5,420.79,SPOT,428.26,212.15,431.99,420.79,2021-05-07 03:47:56,BCHSV/USDT,2021-05-07,03:47:56
pax,usdt,0.9941,1.0031,1.0022,SPOT,0.9949,18662.0,1.0022,0.9951,2021-05-07 03:47:56,PAX/USDT,2021-05-07,03:47:56
usdc,usdt,0.995,0.999,0.996,SPOT,0.995,23350.13,0.999,0.996,2021-05-07 03:47:56,USDC/USDT,2021-05-07,03:47:56
omg,usdt,9.646,19.8682,12.808,SPOT,10.2989,60300.96,12.8,11.8683,2021-05-07 03:47:56,OMG/USDT,2021-05-07,03:47:56
