base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,56400.0,SPOT,57411.0,16.63079,56561.0,56400.0,2021-05-06 22:55:57,BTC/USDT,2021-05-06,22:55:57
trx,usdt,0.13601,0.158,0.15338,SPOT,0.14242,11328531.0,0.15348,0.152,2021-05-06 22:55:57,TRX/USDT,2021-05-06,22:55:57
xrp,usdt,1.55,1.75155,1.6364,SPOT,1.5883,1236487.6,1.6374,1.6364,2021-05-06 22:55:57,XRP/USDT,2021-05-06,22:55:57
eos,usdt,8.4991,13.27,11.5022,SPOT,8.5848,130030.47,11.9291,11.5023,2021-05-06 22:55:57,EOS/USDT,2021-05-06,22:55:57
eth,usdt,3380.0,3625.0,3540.31,SPOT,3526.39,359.0165,3533.73,3531.34,2021-05-06 22:55:57,ETH/USDT,2021-05-06,22:55:57
icx,usdt,2.3195,2.5407,2.4782,SPOT,2.3566,27383.66,2.4878,2.4717,2021-05-06 22:55:57,ICX/USDT,2021-05-06,22:55:57
ltc,usdt,325.0,363.98,342.67,SPOT,353.77,1420.353,342.88,340.83,2021-05-06 22:55:57,LTC/USDT,2021-05-06,22:55:57
tusd,usdt,0.9631,1.0034,1.0025,SPOT,0.9947,170466.91,1.0033,1.0025,2021-05-06 22:55:57,TUSD/USDT,2021-05-06,22:55:57
hot,usdt,0.01423,0.0156687,0.014852,SPOT,0.014729,32851502.0,0.014852,0.01482,2021-05-06 22:55:57,HOT/USDT,2021-05-06,22:55:57
bat,usdt,1.32,1.4449,1.405,SPOT,1.3485,98181.33,1.4128,1.4014,2021-05-06 22:55:57,BAT/USDT,2021-05-06,22:55:57
dash,usdt,374.99,447.14,441.58,SPOT,405.65,246.615,446.0,442.67,2021-05-06 22:55:57,DASH/USDT,2021-05-06,22:55:57
ncash,usdt,0.0066,0.007291,0.006729,SPOT,0.007189,29109775.0,0.006729,0.006653,2021-05-06 22:55:57,NCASH/USDT,2021-05-06,22:55:57
qkc,usdt,0.0298,0.0334,0.03261,SPOT,0.0308,3132590.0,0.03279,0.0326,2021-05-06 22:55:57,QKC/USDT,2021-05-06,22:55:57
zil,usdt,0.204,0.25736,0.24093,SPOT,0.21295,1986623.0,0.25,0.2424,2021-05-06 22:55:57,ZIL/USDT,2021-05-06,22:55:57
zrx,usdt,1.854,2.0926,2.0926,SPOT,1.8556,54747.61,2.1,2.0926,2021-05-06 22:55:57,ZRX/USDT,2021-05-06,22:55:57
bch,usdt,1226.0,1598.0,1534.46,SPOT,1440.14,672.9559,1547.99,1517.57,2021-05-06 22:55:57,BCH/USDT,2021-05-06,22:55:57
bchsv,usdt,350.02,441.75,415.45,SPOT,414.03,219.654,434.99,415.45,2021-05-06 22:55:57,BCHSV/USDT,2021-05-06,22:55:57
pax,usdt,0.9941,1.003,0.9951,SPOT,0.9949,613.48,1.003,0.9951,2021-05-06 22:55:57,PAX/USDT,2021-05-06,22:55:57
usdc,usdt,0.995,1.001,0.999,SPOT,1.001,13059.59,0.999,0.996,2021-05-06 22:55:57,USDC/USDT,2021-05-06,22:55:57
omg,usdt,9.646,12.5,12.5,SPOT,10.1005,13670.53,12.5,12.19,2021-05-06 22:55:57,OMG/USDT,2021-05-06,22:55:57
poly,usdt,0.3625,0.3999,0.3853,SPOT,0.3805,55904.0,0.3865,0.3795,2021-05-06 22:55:57,POLY/USDT,2021-05-06,22:55:57
dent,usdt,0.00936,0.01025,0.009573,SPOT,0.009837,51768424.0,0.009672,0.00967,2021-05-06 22:55:57,DENT/USDT,2021-05-06,22:55:57
iost,usdt,0.05967,0.06801,0.06544,SPOT,0.06153,3918634.0,0.06612,0.0655,2021-05-06 22:55:57,IOST/USDT,2021-05-06,22:55:57
fun,usdt,0.04001,0.0485,0.045803,SPOT,0.040719,3996134.0,0.045803,0.045065,2021-05-06 22:55:57,FUN/USDT,2021-05-06,22:55:57
snt,usdt,0.182,0.23035,0.22215,SPOT,0.18201,378773.0,0.22,0.21707,2021-05-06 22:55:57,SNT/USDT,2021-05-06,22:55:57
theta,usdt,10.6,11.384,10.857,SPOT,11.04,6788.0,11.0,10.963,2021-05-06 22:55:57,THETA/USDT,2021-05-06,22:55:57
req,usdt,0.14248,0.165,0.14248,SPOT,0.15063,74041.0,0.14832,0.14443,2021-05-06 22:55:57,REQ/USDT,2021-05-06,22:55:57
xlm,usdt,0.58621,0.698,0.66345,SPOT,0.59269,732899.3,0.66744,0.66365,2021-05-06 22:55:57,XLM/USDT,2021-05-06,22:55:57
xtz,usdt,6.4517,8.4,7.6407,SPOT,6.6733,18667.48,7.6961,7.6247,2021-05-06 22:55:57,XTZ/USDT,2021-05-06,22:55:57
btt,usdt,0.0068157,0.008401,0.0077444,SPOT,0.0071337,175499680.0,0.007769,0.0077429,2021-05-06 22:55:57,BTT/USDT,2021-05-06,22:55:57
fet,usdt,0.55,0.6128,0.5705,SPOT,0.5948,59874.0,0.5679,0.5655,2021-05-06 22:55:57,FET/USDT,2021-05-06,22:55:57
tfuel,usdt,0.36999,0.4044,0.38248,SPOT,0.38495,85736.0,0.39493,0.38686,2021-05-06 22:55:57,TFUEL/USDT,2021-05-06,22:55:57
celr,usdt,0.05702,0.06248,0.0586,SPOT,0.06248,1038872.0,0.0591,0.05823,2021-05-06 22:55:57,CELR/USDT,2021-05-06,22:55:57
matic,usdt,0.72,0.83339,0.762,SPOT,0.82596,719424.1,0.77,0.76576,2021-05-06 22:55:57,MATIC/USDT,2021-05-06,22:55:57
ada,usdt,1.43,1.6873,1.6873,SPOT,1.4719,1067259.9,1.688,1.6878,2021-05-06 22:55:57,ADA/USDT,2021-05-06,22:55:57
rvn,usdt,0.17,0.189,0.18385,SPOT,0.17422,89239.0,0.1859,0.18461,2021-05-06 22:55:57,RVN/USDT,2021-05-06,22:55:57
xmr,usdt,351.05,433.75,428.4,SPOT,418.66,39.926,430.38,427.64,2021-05-06 22:55:57,XMR/USDT,2021-05-06,22:55:57
atom,usdt,23.5,27.217,25.797,SPOT,24.076,6160.8,26.093,25.876,2021-05-06 22:55:57,ATOM/USDT,2021-05-06,22:55:57
algo,usdt,1.419,1.57,1.555,SPOT,1.424,36115.039,1.555,1.542,2021-05-06 22:55:57,ALGO/USDT,2021-05-06,22:55:57
link,usdt,45.5,50.0,47.417,SPOT,49.442,6527.47,47.771,47.308,2021-05-06 22:55:57,LINK/USDT,2021-05-06,22:55:57
qtum,usdt,16.15,26.043,24.73,SPOT,17.365,10057.011,24.985,24.818,2021-05-06 22:55:57,QTUM/USDT,2021-05-06,22:55:57
etc,usdt,84.5936,179.0,139.88,SPOT,93.939,73571.45,139.99,138.105,2021-05-06 22:55:57,ETC/USDT,2021-05-06,22:55:57
iota,usdt,2.0,2.31,2.2621,SPOT,1.9914,18523.76,2.2618,2.2407,2021-05-06 22:55:57,IOTA/USDT,2021-05-06,22:55:57
zec,usdt,263.27,321.64,315.61,SPOT,293.79,255.491,324.99998,316.59,2021-05-06 22:55:57,ZEC/USDT,2021-05-06,22:55:57
waves,usdt,32.558,40.9154,34.481,SPOT,37.02,2829.11,34.655,34.373,2021-05-06 22:55:57,WAVES/USDT,2021-05-06,22:55:57
ftm,usdt,0.70687,0.818,0.73584,SPOT,0.80088,153738.7,0.73916,0.73277,2021-05-06 22:55:57,FTM/USDT,2021-05-06,22:55:57
enj,usdt,2.4055,2.5878,2.4896,SPOT,2.5609,57353.8,2.5009,2.48877,2021-05-06 22:55:57,ENJ/USDT,2021-05-06,22:55:57
lsk,usdt,6.0,6.9842,6.9389,SPOT,6.0,7794.04,6.9897,6.9161,2021-05-06 22:55:57,LSK/USDT,2021-05-06,22:55:57
steem,usdt,0.8877,1.4099,1.2197,SPOT,0.9125,137262.27,1.2196,1.1989,2021-05-06 22:55:57,STEEM/USDT,2021-05-06,22:55:57
xvg,usdt,0.05947,0.0699,0.06696,SPOT,0.06317,10483666.0,0.06695,0.06581,2021-05-06 22:55:57,XVG/USDT,2021-05-06,22:55:57
loom,usdt,0.135,0.155,0.143,SPOT,0.145,121183.0,0.14598,0.14287,2021-05-06 22:55:57,LOOM/USDT,2021-05-06,22:55:57
mana,usdt,1.35,1.45999,1.45999,SPOT,1.3815,55189.9,1.4545,1.452,2021-05-06 22:55:57,MANA/USDT,2021-05-06,22:55:57
rep,usdt,42.446,50.0,46.332,SPOT,45.5,610.106,46.568,46.154,2021-05-06 22:55:57,REP/USDT,2021-05-06,22:55:57
blz,usdt,0.38,0.415,0.39133,SPOT,0.40004,53513.0,0.39341,0.39,2021-05-06 22:55:57,BLZ/USDT,2021-05-06,22:55:57
nano,usdt,9.2798,10.3907,9.7806,SPOT,9.766,2479.51,9.8556,9.7825,2021-05-06 22:55:57,NANO/USDT,2021-05-06,22:55:57
sc,usdt,0.039,0.04395,0.0414,SPOT,0.04174,12230499.0,0.04139,0.04106,2021-05-06 22:55:57,SC/USDT,2021-05-06,22:55:57
btg,usdt,128.0,168.0,140.0,SPOT,133.23,3649.71,143.24,140.0,2021-05-06 22:55:57,BTG/USDT,2021-05-06,22:55:57
xem,usdt,0.3595,0.4253,0.3886,SPOT,0.3683,891723.0,0.3924,0.3857,2021-05-06 22:55:57,XEM/USDT,2021-05-06,22:55:57
bts,usdt,0.12498,0.1465,0.1465,SPOT,0.12928,552095.0,0.14706,0.14585,2021-05-06 22:55:57,BTS/USDT,2021-05-06,22:55:57
ardr,usdt,0.355,0.4,0.39361,SPOT,0.3819,32823.0,0.3965,0.39229,2021-05-06 22:55:57,ARDR/USDT,2021-05-06,22:55:57
nas,usdt,1.0002,1.33,1.2426,SPOT,1.0002,19612.96,1.2452,1.2197,2021-05-06 22:55:57,NAS/USDT,2021-05-06,22:55:57
win,usdt,0.001208,0.0013698,0.0013216,SPOT,0.0012375,1659581088.0,0.0013216,0.0013195,2021-05-06 22:55:57,WIN/USDT,2021-05-06,22:55:57
bnb,usdt,622.2687,653.1098,637.8899,SPOT,650.46,869.507,640.0,635.94,2021-05-06 22:55:57,BNB/USDT,2021-05-06,22:55:57
chz,usdt,0.49,0.53365,0.507309,SPOT,0.51457,277905.0,0.50735,0.507309,2021-05-06 22:55:57,CHZ/USDT,2021-05-06,22:55:57
wrx,usdt,2.2018,2.49313,2.29667,SPOT,2.38447,707992.4,2.2998,2.29667,2021-05-06 22:55:57,WRX/USDT,2021-05-06,22:55:57
kava,usdt,6.093,6.7848,6.2434,SPOT,6.1233,2328.92,6.3424,6.2839,2021-05-06 22:55:57,KAVA/USDT,2021-05-06,22:55:57
ankr,usdt,0.15462,0.169999,0.15985,SPOT,0.165,97158.0,0.163435,0.15966,2021-05-06 22:55:57,ANKR/USDT,2021-05-06,22:55:57
busd,usdt,0.986,1.0014,0.9968,SPOT,0.9968,24371.15,0.9974,0.9966,2021-05-06 22:55:57,BUSD/USDT,2021-05-06,22:55:57
one,usdt,0.12358,0.13603,0.1278,SPOT,0.13,679434.0,0.12764,0.12709,2021-05-06 22:55:57,ONE/USDT,2021-05-06,22:55:57
ogn,usdt,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 22:55:57,OGN/USDT,2021-05-06,22:55:57
hive,usdt,0.5608,0.6059,0.5772,SPOT,0.59,12242.18,0.5814,0.5736,2021-05-06 22:55:57,HIVE/USDT,2021-05-06,22:55:57
ftt,usdt,56.996,60.0,58.482,SPOT,58.013,311.284,58.462,58.191,2021-05-06 22:55:57,FTT/USDT,2021-05-06,22:55:57
band,usdt,18.179,19.95,18.55,SPOT,19.375,2167.12,18.528,18.435,2021-05-06 22:55:57,BAND/USDT,2021-05-06,22:55:57
jst,usdt,0.12091,0.1486,0.1455,SPOT,0.13704,135661.0,0.14628,0.14475,2021-05-06 22:55:57,JST/USDT,2021-05-06,22:55:57
ctsi,usdt,0.83763,1.0,0.84481,SPOT,0.93922,407507.4,0.84677,0.83881,2021-05-06 22:55:57,CTSI/USDT,2021-05-06,22:55:57
chr,usdt,0.3354,0.37991,0.34675,SPOT,0.36629,1302161.0,0.34727,0.34478,2021-05-06 22:55:57,CHR/USDT,2021-05-06,22:55:57
tomo,usdt,2.6845,2.9559,2.8217,SPOT,2.8828,3041.56,2.89,2.8275,2021-05-06 22:55:57,TOMO/USDT,2021-05-06,22:55:57
stx,usdt,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 22:55:57,STX/USDT,2021-05-06,22:55:57
stmx,usdt,0.048099,0.05383,0.050003,SPOT,0.053496,2024966.0,0.050729,0.050078,2021-05-06 22:55:57,STMX/USDT,2021-05-06,22:55:57
gxs,usdt,1.0298,1.1547,1.1547,SPOT,1.0535,14767.18,1.16,1.1482,2021-05-06 22:55:57,GXS/USDT,2021-05-06,22:55:57
mdt,usdt,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 22:55:57,MDT/USDT,2021-05-06,22:55:57
lto,usdt,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 22:55:57,LTO/USDT,2021-05-06,22:55:57
lrc,usdt,0.54429,0.59511,0.57663,SPOT,0.57823,47021.0,0.585,0.58305,2021-05-06 22:55:57,LRC/USDT,2021-05-06,22:55:57
doge,usdt,0.538787,0.66798,0.5916,SPOT,0.6451786,11215097.0,0.5916,0.59,2021-05-06 22:55:57,DOGE/USDT,2021-05-06,22:55:57
neo,usdt,110.462,127.883,124.588,SPOT,113.746,1033.788,125.164,124.588,2021-05-06 22:55:57,NEO/USDT,2021-05-06,22:55:57
hbar,usdt,0.292,0.31657,0.30403,SPOT,0.30977,1096273.3,0.30468,0.30268,2021-05-06 22:55:57,HBAR/USDT,2021-05-06,22:55:57
