base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55400.0,58100.0,56606.0,SPOT,57939.0,23.28369,56876.0,56597.0,2021-05-07 11:34:59,BTC/USDT,2021-05-07,11:34:59
trx,usdt,0.14001,0.16788,0.16294,SPOT,0.14393,13705702.0,0.16295,0.1627,2021-05-07 11:34:59,TRX/USDT,2021-05-07,11:34:59
xrp,usdt,1.51,1.7185,1.58569,SPOT,1.6642,900169.8,1.58569,1.5823,2021-05-07 11:34:59,XRP/USDT,2021-05-07,11:34:59
eos,usdt,9.2791,13.27,11.7631,SPOT,9.5,130365.22,11.8161,11.7586,2021-05-07 11:34:59,EOS/USDT,2021-05-07,11:34:59
eth,usdt,3365.0,3625.0,3456.91,SPOT,3491.9,375.4967,3456.91,3453.43,2021-05-07 11:34:59,ETH/USDT,2021-05-07,11:34:59
icx,usdt,2.3228,2.83,2.7902,SPOT,2.4137,39617.74,2.7993,2.7002,2021-05-07 11:34:59,ICX/USDT,2021-05-07,11:34:59
ltc,usdt,326.0,372.0,361.0,SPOT,343.28,1137.887,360.3,359.71,2021-05-07 11:34:59,LTC/USDT,2021-05-07,11:34:59
tusd,usdt,0.9941,1.0037,0.9951,SPOT,0.999,148561.21,1.0034,0.9951,2021-05-07 11:34:59,TUSD/USDT,2021-05-07,11:34:59
hot,usdt,0.01423,0.0158,0.015417,SPOT,0.0148114,36053877.0,0.01545,0.0154162,2021-05-07 11:34:59,HOT/USDT,2021-05-07,11:34:59
bat,usdt,1.32,1.5899,1.5287,SPOT,1.3941,99523.28,1.5404,1.5334,2021-05-07 11:34:59,BAT/USDT,2021-05-07,11:34:59
dash,usdt,375.0,476.37,432.21,SPOT,395.85,334.093,435.36,432.73,2021-05-07 11:34:59,DASH/USDT,2021-05-07,11:34:59
ncash,usdt,0.0066,0.007239,0.006712,SPOT,0.007148,43965400.0,0.006712,0.006708,2021-05-07 11:34:59,NCASH/USDT,2021-05-07,11:34:59
qkc,usdt,0.03065,0.03327,0.03214,SPOT,0.03277,2123836.0,0.03214,0.0321,2021-05-07 11:34:59,QKC/USDT,2021-05-07,11:34:59
zil,usdt,0.20996,0.25736,0.2375,SPOT,0.24667,1601839.0,0.23709,0.23522,2021-05-07 11:34:59,ZIL/USDT,2021-05-07,11:34:59
zrx,usdt,1.92,2.2166,2.1983,SPOT,1.9927,62658.92,2.2013,2.1968,2021-05-07 11:34:59,ZRX/USDT,2021-05-07,11:34:59
bch,usdt,1350.0,1598.0,1417.65,SPOT,1432.22,488.4193,1419.61,1417.65,2021-05-07 11:34:59,BCH/USDT,2021-05-07,11:34:59
bchsv,usdt,395.03,450.5,430.0,SPOT,416.02,223.569,443.0,425.0,2021-05-07 11:34:59,BCHSV/USDT,2021-05-07,11:34:59
pax,usdt,0.9941,1.0038,0.9946,SPOT,0.9946,88278.02,1.0007,0.9946,2021-05-07 11:34:59,PAX/USDT,2021-05-07,11:34:59
usdc,usdt,0.995,0.999,0.999,SPOT,0.998,26478.18,0.999,0.997,2021-05-07 11:34:59,USDC/USDT,2021-05-07,11:34:59
