base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55400.0,58217.0,55743.0,SPOT,57170.0,23.37369,55722.0,55464.0,2021-05-07 04:51:58,BTC/USDT,2021-05-07,04:51:58
trx,usdt,0.13601,0.16788,0.1555,SPOT,0.14459,13105440.0,0.1555,0.15499,2021-05-07 04:51:58,TRX/USDT,2021-05-07,04:51:58
xrp,usdt,1.51,1.732,1.54299,SPOT,1.6928,975386.7,1.543,1.5375,2021-05-07 04:51:58,XRP/USDT,2021-05-07,04:51:58
eos,usdt,8.5,13.27,11.5749,SPOT,9.1012,131261.95,11.6246,11.576,2021-05-07 04:51:58,EOS/USDT,2021-05-07,04:51:58
eth,usdt,3365.0,3625.0,3401.58,SPOT,3454.14,406.1278,3480.0,3400.0,2021-05-07 04:51:58,ETH/USDT,2021-05-07,04:51:58
icx,usdt,2.3228,2.5578,2.4505,SPOT,2.4391,28657.26,2.4492,2.448,2021-05-07 04:51:58,ICX/USDT,2021-05-07,04:51:58
ltc,usdt,325.0,371.5,347.39,SPOT,340.0,1185.586,346.49,343.62,2021-05-07 04:51:58,LTC/USDT,2021-05-07,04:51:58
tusd,usdt,0.9941,1.0037,0.9992,SPOT,0.9959,177656.55,1.0034,0.9951,2021-05-07 04:51:58,TUSD/USDT,2021-05-07,04:51:58
hot,usdt,0.01423,0.0158,0.014855,SPOT,0.0150949,34051797.0,0.014855,0.0148219,2021-05-07 04:51:58,HOT/USDT,2021-05-07,04:51:58
bat,usdt,1.32,1.5899,1.5038,SPOT,1.4,114337.21,1.5068,1.4689,2021-05-07 04:51:58,BAT/USDT,2021-05-07,04:51:58
dash,usdt,374.99,476.37,435.82,SPOT,388.05,383.834,437.5,400.0,2021-05-07 04:51:58,DASH/USDT,2021-05-07,04:51:58
ncash,usdt,0.0066,0.007251,0.006877,SPOT,0.0071,30610042.0,0.00692,0.006878,2021-05-07 04:51:58,NCASH/USDT,2021-05-07,04:51:58
qkc,usdt,0.03102,0.03339,0.0314,SPOT,0.03238,2384722.0,0.0315,0.03142,2021-05-07 04:51:58,QKC/USDT,2021-05-07,04:51:58
zil,usdt,0.204,0.25736,0.22314,SPOT,0.2127,2156938.0,0.22427,0.22304,2021-05-07 04:51:58,ZIL/USDT,2021-05-07,04:51:58
zrx,usdt,1.854,2.1506,2.0297,SPOT,1.902,58113.9,2.0338,2.0135,2021-05-07 04:51:58,ZRX/USDT,2021-05-07,04:51:58
bch,usdt,1274.02,1598.0,1369.0,SPOT,1338.0,581.8571,1372.9,1361.36,2021-05-07 04:51:58,BCH/USDT,2021-05-07,04:51:58
