base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,56420.0,SPOT,56700.0,16.82141,56379.0,56168.0,2021-05-06 22:01:58,BTC/USDT,2021-05-06,22:01:58
trx,usdt,0.13601,0.158,0.15116,SPOT,0.13635,11580444.0,0.15081,0.14648,2021-05-06 22:01:58,TRX/USDT,2021-05-06,22:01:58
xrp,usdt,1.55,1.75155,1.6343,SPOT,1.5591,1200019.7,1.64,1.59,2021-05-06 22:01:58,XRP/USDT,2021-05-06,22:01:58
eos,usdt,8.4991,13.27,11.7611,SPOT,8.5,131104.29,12.15,11.7612,2021-05-06 22:01:58,EOS/USDT,2021-05-06,22:01:58
eth,usdt,3380.0,3625.0,3510.63,SPOT,3425.0,388.4373,3523.51,3501.83,2021-05-06 22:01:58,ETH/USDT,2021-05-06,22:01:58
icx,usdt,2.3195,2.5407,2.4443,SPOT,2.3395,27028.04,2.4416,2.3891,2021-05-06 22:01:58,ICX/USDT,2021-05-06,22:01:58
ltc,usdt,325.0,363.98,337.91,SPOT,349.86,1440.115,337.91,335.62,2021-05-06 22:01:58,LTC/USDT,2021-05-06,22:01:58
tusd,usdt,0.9631,1.0034,1.0025,SPOT,0.9947,170466.91,1.0033,1.0025,2021-05-06 22:01:58,TUSD/USDT,2021-05-06,22:01:58
hot,usdt,0.01423,0.0156687,0.014829,SPOT,0.0145489,32084051.0,0.014914,0.014829,2021-05-06 22:01:58,HOT/USDT,2021-05-06,22:01:58
bat,usdt,1.32,1.4449,1.4009,SPOT,1.3324,97753.13,1.3889,1.3505,2021-05-06 22:01:58,BAT/USDT,2021-05-06,22:01:58
dash,usdt,374.99,447.14,428.0,SPOT,395.82,269.24,426.92,423.36,2021-05-06 22:01:58,DASH/USDT,2021-05-06,22:01:58
ncash,usdt,0.0066,0.007291,0.006912,SPOT,0.006901,29025146.0,0.006908,0.006835,2021-05-06 22:01:58,NCASH/USDT,2021-05-06,22:01:58
qkc,usdt,0.0298,0.0334,0.03194,SPOT,0.03025,3106490.0,0.03254,0.03156,2021-05-06 22:01:58,QKC/USDT,2021-05-06,22:01:58
zil,usdt,0.204,0.25736,0.24203,SPOT,0.21244,1953916.0,0.24114,0.23915,2021-05-06 22:01:58,ZIL/USDT,2021-05-06,22:01:58
zrx,usdt,1.854,2.0675,2.0382,SPOT,1.8554,53827.75,2.0169,2.0036,2021-05-06 22:01:58,ZRX/USDT,2021-05-06,22:01:58
bch,usdt,1226.0,1598.0,1500.33,SPOT,1408.6,670.4478,1499.95,1490.12,2021-05-06 22:01:58,BCH/USDT,2021-05-06,22:01:58
bchsv,usdt,350.02,441.75,415.22,SPOT,435.07,206.374,435.0,415.21,2021-05-06 22:01:58,BCHSV/USDT,2021-05-06,22:01:58
pax,usdt,0.9941,1.003,0.9951,SPOT,0.9949,723.54,1.003,0.9951,2021-05-06 22:01:58,PAX/USDT,2021-05-06,22:01:58
usdc,usdt,0.995,1.001,0.999,SPOT,1.001,13059.59,0.999,0.996,2021-05-06 22:01:58,USDC/USDT,2021-05-06,22:01:58
omg,usdt,9.646,11.2,11.0659,SPOT,9.9015,10953.33,11.0105,10.9385,2021-05-06 22:01:58,OMG/USDT,2021-05-06,22:01:58
poly,usdt,0.3625,0.3999,0.3771,SPOT,0.37,51832.0,0.3771,0.3722,2021-05-06 22:01:58,POLY/USDT,2021-05-06,22:01:58
dent,usdt,0.00936,0.01025,0.0096,SPOT,0.009624,51573041.0,0.009693,0.0096,2021-05-06 22:01:58,DENT/USDT,2021-05-06,22:01:58
iost,usdt,0.05967,0.06801,0.06554,SPOT,0.06019,3844012.0,0.06563,0.06264,2021-05-06 22:01:58,IOST/USDT,2021-05-06,22:01:58
fun,usdt,0.04001,0.0485,0.04615,SPOT,0.040286,3839804.0,0.04549,0.045439,2021-05-06 22:01:58,FUN/USDT,2021-05-06,22:01:58
snt,usdt,0.17999,0.23035,0.22102,SPOT,0.17999,375429.0,0.22102,0.21958,2021-05-06 22:01:58,SNT/USDT,2021-05-06,22:01:58
theta,usdt,10.6,11.384,10.892,SPOT,10.834,6823.0,10.896,10.802,2021-05-06 22:01:58,THETA/USDT,2021-05-06,22:01:58
req,usdt,0.14248,0.165,0.14248,SPOT,0.15063,74041.0,0.14731,0.14344,2021-05-06 22:01:58,REQ/USDT,2021-05-06,22:01:58
xlm,usdt,0.57607,0.698,0.66096,SPOT,0.58015,705835.5,0.68,0.61696,2021-05-06 22:01:58,XLM/USDT,2021-05-06,22:01:58
xtz,usdt,6.4517,8.4,7.7895,SPOT,6.4805,18617.94,7.7895,7.0,2021-05-06 22:01:58,XTZ/USDT,2021-05-06,22:01:58
btt,usdt,0.0068157,0.008401,0.0077001,SPOT,0.0069,178101418.0,0.0076572,0.0076066,2021-05-06 22:01:58,BTT/USDT,2021-05-06,22:01:58
fet,usdt,0.55,0.6128,0.5752,SPOT,0.5972,61288.0,0.5736,0.5719,2021-05-06 22:01:58,FET/USDT,2021-05-06,22:01:58
tfuel,usdt,0.36999,0.4044,0.39494,SPOT,0.38462,88445.0,0.39345,0.3904,2021-05-06 22:01:58,TFUEL/USDT,2021-05-06,22:01:58
celr,usdt,0.05702,0.06248,0.05889,SPOT,0.06165,1099692.0,0.05852,0.0584,2021-05-06 22:01:58,CELR/USDT,2021-05-06,22:01:58
matic,usdt,0.72,0.83339,0.76035,SPOT,0.80519,757469.9,0.76907,0.75511,2021-05-06 22:01:58,MATIC/USDT,2021-05-06,22:01:58
ada,usdt,1.43,1.6829,1.6382,SPOT,1.4719,1050239.6,1.6524,1.63,2021-05-06 22:01:58,ADA/USDT,2021-05-06,22:01:58
rvn,usdt,0.17,0.189,0.18418,SPOT,0.16917,90505.0,0.18185,0.18062,2021-05-06 22:01:58,RVN/USDT,2021-05-06,22:01:58
xmr,usdt,351.05,433.75,430.28,SPOT,405.0,40.549,430.83,382.2,2021-05-06 22:01:58,XMR/USDT,2021-05-06,22:01:58
atom,usdt,23.5,27.217,25.316,SPOT,23.606,6145.01,25.383,25.128,2021-05-06 22:01:58,ATOM/USDT,2021-05-06,22:01:58
algo,usdt,1.401,1.57,1.528,SPOT,1.4,35622.115,1.53,1.47,2021-05-06 22:01:58,ALGO/USDT,2021-05-06,22:01:58
link,usdt,45.5,50.0,47.1,SPOT,48.045,6539.78,47.1,47.003,2021-05-06 22:01:58,LINK/USDT,2021-05-06,22:01:58
qtum,usdt,16.15,26.043,25.335,SPOT,17.2,9842.042,25.531,25.11,2021-05-06 22:01:58,QTUM/USDT,2021-05-06,22:01:58
etc,usdt,84.5936,179.0,147.0,SPOT,95.0,72263.62,147.0,145.2569,2021-05-06 22:01:58,ETC/USDT,2021-05-06,22:01:58
iota,usdt,1.9686,2.31,2.3,SPOT,1.9785,18147.18,2.3075,2.295,2021-05-06 22:01:58,IOTA/USDT,2021-05-06,22:01:58
zec,usdt,263.27,321.64,310.29,SPOT,300.0,280.628,312.61,309.78,2021-05-06 22:01:58,ZEC/USDT,2021-05-06,22:01:58
waves,usdt,32.558,40.9154,34.642,SPOT,35.0,2862.25,34.463,33.0,2021-05-06 22:01:58,WAVES/USDT,2021-05-06,22:01:58
ftm,usdt,0.70687,0.818,0.7434,SPOT,0.79,153078.6,0.74645,0.73021,2021-05-06 22:01:58,FTM/USDT,2021-05-06,22:01:58
