base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55001.0,58217.0,56013.0,SPOT,57071.0,16.29994,56016.0,56002.0,2021-05-06 19:37:59,BTC/USDT,2021-05-06,19:37:59
trx,usdt,0.13509,0.158,0.147,SPOT,0.13706,11696284.0,0.14693,0.14675,2021-05-06 19:37:59,TRX/USDT,2021-05-06,19:37:59
xrp,usdt,1.5499,1.75155,1.6065,SPOT,1.5825,1190363.7,1.6066,1.6065,2021-05-06 19:37:59,XRP/USDT,2021-05-06,19:37:59
eos,usdt,8.0,13.27,11.4917,SPOT,8.3656,127165.91,11.4917,11.1358,2021-05-06 19:37:59,EOS/USDT,2021-05-06,19:37:59
eth,usdt,3380.0,3625.0,3464.71,SPOT,3434.2,366.8882,3550.0,3469.05,2021-05-06 19:37:59,ETH/USDT,2021-05-06,19:37:59
icx,usdt,2.3195,2.5407,2.3662,SPOT,2.4076,26183.78,2.385,2.3714,2021-05-06 19:37:59,ICX/USDT,2021-05-06,19:37:59
ltc,usdt,325.0,363.98,332.73,SPOT,354.31,1440.473,332.6,330.94,2021-05-06 19:37:59,LTC/USDT,2021-05-06,19:37:59
tusd,usdt,0.9631,1.0034,0.9942,SPOT,0.964,170563.81,1.0025,0.9949,2021-05-06 19:37:59,TUSD/USDT,2021-05-06,19:37:59
hot,usdt,0.01423,0.0156687,0.014582,SPOT,0.014685,31360919.0,0.014622,0.014606,2021-05-06 19:37:59,HOT/USDT,2021-05-06,19:37:59
bat,usdt,1.237,1.4449,1.3669,SPOT,1.3596,107830.31,1.368,1.3597,2021-05-06 19:37:59,BAT/USDT,2021-05-06,19:37:59
dash,usdt,374.99,447.14,413.61,SPOT,399.6,368.28,416.07,412.73,2021-05-06 19:37:59,DASH/USDT,2021-05-06,19:37:59
ncash,usdt,0.0066,0.007291,0.0068,SPOT,0.006939,27327044.0,0.006801,0.0068,2021-05-06 19:37:59,NCASH/USDT,2021-05-06,19:37:59
qkc,usdt,0.0298,0.0334,0.03223,SPOT,0.03005,3009947.0,0.03223,0.03172,2021-05-06 19:37:59,QKC/USDT,2021-05-06,19:37:59
zil,usdt,0.204,0.25736,0.23569,SPOT,0.215,1845991.0,0.23859,0.23606,2021-05-06 19:37:59,ZIL/USDT,2021-05-06,19:37:59
zrx,usdt,1.8501,2.0675,1.94,SPOT,1.8714,50116.5,1.9603,1.9461,2021-05-06 19:37:59,ZRX/USDT,2021-05-06,19:37:59
bch,usdt,1226.0,1598.0,1445.56,SPOT,1311.4,699.4857,1450.38,1445.56,2021-05-06 19:37:59,BCH/USDT,2021-05-06,19:37:59
bchsv,usdt,350.02,441.75,419.0,SPOT,407.02,198.063,436.85,419.0,2021-05-06 19:37:59,BCHSV/USDT,2021-05-06,19:37:59
pax,usdt,0.9941,1.0031,1.0029,SPOT,1.0031,628.59,1.003,0.9951,2021-05-06 19:37:59,PAX/USDT,2021-05-06,19:37:59
usdc,usdt,0.995,1.001,0.999,SPOT,1.001,13159.73,0.999,0.996,2021-05-06 19:37:59,USDC/USDT,2021-05-06,19:37:59
omg,usdt,9.646,11.2,10.3615,SPOT,10.0784,9793.49,10.4098,10.3615,2021-05-06 19:37:59,OMG/USDT,2021-05-06,19:37:59
poly,usdt,0.3625,0.3999,0.3679,SPOT,0.3773,52291.0,0.3679,0.3631,2021-05-06 19:37:59,POLY/USDT,2021-05-06,19:37:59
dent,usdt,0.009415,0.01025,0.009493,SPOT,0.009856,50228307.0,0.009558,0.009495,2021-05-06 19:37:59,DENT/USDT,2021-05-06,19:37:59
iost,usdt,0.05915,0.06801,0.06299,SPOT,0.05983,3992011.0,0.06303,0.0626,2021-05-06 19:37:59,IOST/USDT,2021-05-06,19:37:59
fun,usdt,0.04001,0.0485,0.04048,SPOT,0.041093,3529160.0,0.04117,0.040401,2021-05-06 19:37:59,FUN/USDT,2021-05-06,19:37:59
snt,usdt,0.17528,0.23035,0.20469,SPOT,0.175,371025.0,0.20469,0.20356,2021-05-06 19:37:59,SNT/USDT,2021-05-06,19:37:59
theta,usdt,10.6,11.384,10.769,SPOT,10.85056,6703.2,10.762,10.685,2021-05-06 19:37:59,THETA/USDT,2021-05-06,19:37:59
req,usdt,0.14248,0.165,0.1434,SPOT,0.15212,74516.0,0.1434,0.14248,2021-05-06 19:37:59,REQ/USDT,2021-05-06,19:37:59
xlm,usdt,0.57031,0.698,0.63297,SPOT,0.58442,703863.6,0.63839,0.63679,2021-05-06 19:37:59,XLM/USDT,2021-05-06,19:37:59
xtz,usdt,6.4517,8.4,7.35,SPOT,6.6377,17857.29,7.35,7.3483,2021-05-06 19:37:59,XTZ/USDT,2021-05-06,19:37:59
btt,usdt,0.0068157,0.008401,0.0075193,SPOT,0.0070505,171336156.0,0.0076,0.0075193,2021-05-06 19:37:59,BTT/USDT,2021-05-06,19:37:59
fet,usdt,0.55,0.6128,0.5581,SPOT,0.601,63853.0,0.5643,0.56,2021-05-06 19:37:59,FET/USDT,2021-05-06,19:37:59
tfuel,usdt,0.36999,0.4044,0.3787,SPOT,0.39456,84426.0,0.3832,0.37954,2021-05-06 19:37:59,TFUEL/USDT,2021-05-06,19:37:59
celr,usdt,0.05702,0.06266,0.05808,SPOT,0.06214,1083251.0,0.05808,0.05797,2021-05-06 19:37:59,CELR/USDT,2021-05-06,19:37:59
matic,usdt,0.72,0.83339,0.74966,SPOT,0.80543,774039.7,0.75417,0.74966,2021-05-06 19:37:59,MATIC/USDT,2021-05-06,19:37:59
ada,usdt,1.4203,1.6829,1.5712,SPOT,1.438,1032926.1,1.5715,1.5638,2021-05-06 19:37:59,ADA/USDT,2021-05-06,19:37:59
rvn,usdt,0.16909,0.189,0.17523,SPOT,0.17139,88295.0,0.17533,0.17397,2021-05-06 19:37:59,RVN/USDT,2021-05-06,19:37:59
xmr,usdt,351.05,433.75,413.39,SPOT,409.63,41.034,416.66,413.92,2021-05-06 19:37:59,XMR/USDT,2021-05-06,19:37:59
atom,usdt,23.288,27.217,25.075,SPOT,23.223,6077.43,25.259,25.06,2021-05-06 19:37:59,ATOM/USDT,2021-05-06,19:37:59
algo,usdt,1.4,1.57,1.491,SPOT,1.427,35868.954,1.491,1.486,2021-05-06 19:37:59,ALGO/USDT,2021-05-06,19:37:59
link,usdt,45.5,50.0,46.577,SPOT,48.184,6196.71,46.58,46.562,2021-05-06 19:37:59,LINK/USDT,2021-05-06,19:37:59
qtum,usdt,16.15,23.9,21.986,SPOT,17.042,8686.631,21.907,21.727,2021-05-06 19:37:59,QTUM/USDT,2021-05-06,19:37:59
etc,usdt,84.5936,179.0,165.3499,SPOT,93.949,64642.09,165.3334,165.0,2021-05-06 19:37:59,ETC/USDT,2021-05-06,19:37:59
iota,usdt,1.9686,2.1951,2.05,SPOT,2.0156,12758.96,2.058,2.0512,2021-05-06 19:38:00,IOTA/USDT,2021-05-06,19:38:00
zec,usdt,263.27,321.64,302.12,SPOT,285.47,310.39,324.99999,306.52,2021-05-06 19:38:00,ZEC/USDT,2021-05-06,19:38:00
waves,usdt,32.558,40.9154,33.891,SPOT,34.536,2781.38,34.411,33.0,2021-05-06 19:38:00,WAVES/USDT,2021-05-06,19:38:00
ftm,usdt,0.70687,0.82524,0.73603,SPOT,0.80979,150681.6,0.73674,0.73603,2021-05-06 19:38:00,FTM/USDT,2021-05-06,19:38:00
