base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,56264.0,SPOT,56669.0,17.23608,56264.0,56084.0,2021-05-07 01:59:59,BTC/USDT,2021-05-07,01:59:59
trx,usdt,0.13601,0.16788,0.167,SPOT,0.14207,12256717.0,0.167,0.16664,2021-05-07 01:59:59,TRX/USDT,2021-05-07,01:59:59
xrp,usdt,1.55,1.732,1.5842,SPOT,1.70217,1030723.8,1.5856,1.5766,2021-05-07 01:59:59,XRP/USDT,2021-05-07,01:59:59
eos,usdt,8.5,13.27,12.8743,SPOT,8.9685,127779.47,12.8743,12.5829,2021-05-07 01:59:59,EOS/USDT,2021-05-07,01:59:59
eth,usdt,3380.0,3625.0,3469.12,SPOT,3474.36,369.6744,3466.97,3455.8,2021-05-07 01:59:59,ETH/USDT,2021-05-07,01:59:59
icx,usdt,2.3228,2.5407,2.5006,SPOT,2.3746,28326.25,2.5218,2.5065,2021-05-07 01:59:59,ICX/USDT,2021-05-07,01:59:59
ltc,usdt,325.0,359.0,344.95,SPOT,342.58,998.268,348.21,347.4,2021-05-07 01:59:59,LTC/USDT,2021-05-07,01:59:59
tusd,usdt,0.9631,1.0035,1.0035,SPOT,0.9959,172073.45,1.0035,0.995,2021-05-07 01:59:59,TUSD/USDT,2021-05-07,01:59:59
hot,usdt,0.01423,0.0158,0.015421,SPOT,0.014718,35245712.0,0.015436,0.015416,2021-05-07 01:59:59,HOT/USDT,2021-05-07,01:59:59
bat,usdt,1.32,1.5022,1.5022,SPOT,1.3686,99940.67,1.5076,1.4148,2021-05-07 01:59:59,BAT/USDT,2021-05-07,01:59:59
dash,usdt,374.99,476.37,455.09,SPOT,388.37,385.371,455.84,382.0,2021-05-07 01:59:59,DASH/USDT,2021-05-07,01:59:59
ncash,usdt,0.0066,0.007291,0.006819,SPOT,0.007242,30741783.0,0.006819,0.006816,2021-05-07 01:59:59,NCASH/USDT,2021-05-07,01:59:59
qkc,usdt,0.03102,0.03339,0.03218,SPOT,0.03301,2641518.0,0.03274,0.03219,2021-05-07 01:59:59,QKC/USDT,2021-05-07,01:59:59
zil,usdt,0.204,0.25736,0.22758,SPOT,0.21199,2078575.0,0.22758,0.22755,2021-05-07 01:59:59,ZIL/USDT,2021-05-07,01:59:59
zrx,usdt,1.854,2.1304,2.11,SPOT,1.9023,56090.29,2.1187,2.1081,2021-05-07 01:59:59,ZRX/USDT,2021-05-07,01:59:59
bch,usdt,1274.02,1598.0,1444.08,SPOT,1329.61,578.3232,1439.75,1433.32,2021-05-07 01:59:59,BCH/USDT,2021-05-07,01:59:59
bchsv,usdt,350.02,441.75,415.21,SPOT,425.0,202.328,431.0,415.21,2021-05-07 01:59:59,BCHSV/USDT,2021-05-07,01:59:59
pax,usdt,0.9941,1.003,0.9951,SPOT,0.9949,692.02,1.003,0.9951,2021-05-07 01:59:59,PAX/USDT,2021-05-07,01:59:59
usdc,usdt,0.995,0.999,0.996,SPOT,1.001,15555.13,0.999,0.996,2021-05-07 01:59:59,USDC/USDT,2021-05-07,01:59:59
omg,usdt,9.646,13.5501,13.1271,SPOT,9.7409,22005.79,13.4734,13.1278,2021-05-07 01:59:59,OMG/USDT,2021-05-07,01:59:59
poly,usdt,0.3625,0.3999,0.371,SPOT,0.3857,58855.0,0.3716,0.3643,2021-05-07 01:59:59,POLY/USDT,2021-05-07,01:59:59
dent,usdt,0.00936,0.01025,0.009911,SPOT,0.009613,48233528.0,0.00991,0.009881,2021-05-07 01:59:59,DENT/USDT,2021-05-07,01:59:59
iost,usdt,0.05967,0.07384,0.07161,SPOT,0.06094,5461122.0,0.07175,0.071,2021-05-07 01:59:59,IOST/USDT,2021-05-07,01:59:59
fun,usdt,0.040166,0.0485,0.042744,SPOT,0.041042,4042730.0,0.043316,0.04262,2021-05-07 01:59:59,FUN/USDT,2021-05-07,01:59:59
snt,usdt,0.1943,0.23035,0.22937,SPOT,0.19993,345439.0,0.23199,0.23031,2021-05-07 01:59:59,SNT/USDT,2021-05-07,01:59:59
theta,usdt,10.6,11.384,11.194,SPOT,11.254,7416.7,11.27,11.204,2021-05-07 01:59:59,THETA/USDT,2021-05-07,01:59:59
req,usdt,0.14248,0.165,0.14621,SPOT,0.14911,82116.0,0.14506,0.145,2021-05-07 01:59:59,REQ/USDT,2021-05-07,01:59:59
xlm,usdt,0.59337,0.698,0.63329,SPOT,0.63053,600015.4,0.63543,0.63205,2021-05-07 01:59:59,XLM/USDT,2021-05-07,01:59:59
xtz,usdt,6.4517,8.4,8.21,SPOT,6.7066,19688.04,8.255,8.2114,2021-05-07 01:59:59,XTZ/USDT,2021-05-07,01:59:59
btt,usdt,0.0069334,0.0090888,0.0089075,SPOT,0.006988,221252855.0,0.0089011,0.0088578,2021-05-07 01:59:59,BTT/USDT,2021-05-07,01:59:59
