base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,56522.0,SPOT,57255.0,17.69692,56525.0,56420.0,2021-05-06 23:55:58,BTC/USDT,2021-05-06,23:55:58
trx,usdt,0.13601,0.158,0.15224,SPOT,0.14649,11062023.0,0.15268,0.152,2021-05-06 23:55:58,TRX/USDT,2021-05-06,23:55:58
xrp,usdt,1.55,1.75155,1.6049,SPOT,1.6043,1198981.2,1.6044,1.59889,2021-05-06 23:55:58,XRP/USDT,2021-05-06,23:55:58
eos,usdt,8.5,13.27,11.2449,SPOT,8.7415,129262.72,11.6176,11.2649,2021-05-06 23:55:58,EOS/USDT,2021-05-06,23:55:58
eth,usdt,3380.0,3625.0,3498.22,SPOT,3521.0,357.2596,3500.22,3482.99,2021-05-06 23:55:58,ETH/USDT,2021-05-06,23:55:58
icx,usdt,2.3195,2.5407,2.4762,SPOT,2.3785,27325.56,2.4901,2.4641,2021-05-06 23:55:58,ICX/USDT,2021-05-06,23:55:58
ltc,usdt,325.0,363.98,353.27,SPOT,354.63,1167.197,355.39,353.77,2021-05-06 23:55:58,LTC/USDT,2021-05-06,23:55:58
tusd,usdt,0.9631,1.0034,1.0033,SPOT,0.996,169848.54,1.0033,1.0025,2021-05-06 23:55:58,TUSD/USDT,2021-05-06,23:55:58
hot,usdt,0.01423,0.0156687,0.0151,SPOT,0.014777,32708458.0,0.015064,0.014964,2021-05-06 23:55:58,HOT/USDT,2021-05-06,23:55:58
bat,usdt,1.32,1.4449,1.4001,SPOT,1.3674,94808.69,1.4101,1.3997,2021-05-06 23:55:58,BAT/USDT,2021-05-06,23:55:58
dash,usdt,374.99,452.7,439.58,SPOT,397.9,286.602,442.69,440.75,2021-05-06 23:55:58,DASH/USDT,2021-05-06,23:55:58
ncash,usdt,0.0066,0.007291,0.006699,SPOT,0.007169,29645122.0,0.0067,0.006677,2021-05-06 23:55:58,NCASH/USDT,2021-05-06,23:55:58
qkc,usdt,0.03032,0.0334,0.03249,SPOT,0.0308,3052774.0,0.03249,0.032,2021-05-06 23:55:58,QKC/USDT,2021-05-06,23:55:58
zil,usdt,0.204,0.25736,0.23626,SPOT,0.21085,2010664.0,0.23623,0.23452,2021-05-06 23:55:58,ZIL/USDT,2021-05-06,23:55:58
zrx,usdt,1.854,2.0931,2.0487,SPOT,1.8797,54459.42,2.06,2.0419,2021-05-06 23:55:58,ZRX/USDT,2021-05-06,23:55:58
bch,usdt,1274.02,1598.0,1514.26,SPOT,1444.99,634.0065,1516.24,1508.78,2021-05-06 23:55:58,BCH/USDT,2021-05-06,23:55:58
bchsv,usdt,350.02,441.75,416.02,SPOT,420.7,214.055,435.0,416.0,2021-05-06 23:55:58,BCHSV/USDT,2021-05-06,23:55:58
pax,usdt,0.9941,1.003,0.9951,SPOT,0.9949,719.5,1.003,0.9951,2021-05-06 23:55:58,PAX/USDT,2021-05-06,23:55:58
usdc,usdt,0.995,1.001,0.999,SPOT,1.001,13059.59,0.999,0.996,2021-05-06 23:55:58,USDC/USDT,2021-05-06,23:55:58
omg,usdt,9.646,12.8723,12.8485,SPOT,10.1005,15572.45,12.9328,12.8547,2021-05-06 23:55:58,OMG/USDT,2021-05-06,23:55:58
poly,usdt,0.3625,0.3999,0.3755,SPOT,0.3778,57693.0,0.3794,0.3721,2021-05-06 23:55:58,POLY/USDT,2021-05-06,23:55:58
dent,usdt,0.00936,0.01025,0.009695,SPOT,0.009832,50725004.0,0.009693,0.009643,2021-05-06 23:55:58,DENT/USDT,2021-05-06,23:55:58
